bound	بستہ
chide	جھڑکنا
chide	دبانا
chide	دبکانا
chiding	جھڑجھڑاہٹ
chiding	دھمکا
chiding	زجر
chiding	طعنہ
chiedy	غالباً
chief	آغا
chief	رائس
chief	سالار
chief	شیخ
chief	صوبہ دار
chief	مڈھ
chief	نابھ
chief	ٹھاکر
chief	پراگرہ ہر
chief	پرمکھ
chief	پرویر
chief	پہلا
chief	چیف
chief_actor	کتھک
chief_judge	صدر الصدور
chief_justice	چیف جسٹس
chief_manager_of_business	مدار کار
chief_of_serpents	باسک
chief_of_serpents	باسکھ
chief_of_the_nobles	امیر الامرا
chief_of_the_staff	چیف آف دی اسٹاف
chief_officer_of_state	دیوان
chief_part_.	ام
chief_qazi	امام شہر
chief_seat	بالانشین
chiefs	اوتاد
chiefs_(of_a_country	وجوہ
chieftain	راول
chieftain	سالار
child	ابن
child	ابن ابیہ
child	بال
child	بالک
child	ببوا
child	بدھائی
child	برخوردار
child	بچہ
child	زائیدہ
child	طفل
child	فرزند
child	نا بالغ
child	وجد
child	چرچرا
child	ڈھولا
child	کمار
child-birth	زچگی
child-like	بچگانہ
child_gone_to_heaven	توشۂ آخرت
child_gone_to_heaven	توشۂ عاقبت
child_of_a_whore	حمیل
childbirth	پرسو
childhood	بالا پن
childhood	بالک پن
childhood	صغرسنی
childhood	طفولیت
childhood.	افتاد
childing	طعن
childish	الھڑ
childish	بالا
childish	بچگانہ
childish	طفلانہ
childish_exploits_or_tricks	بال چرتر
childish_obstinacy	بال ہٹ
childlike	بالا
childlike	بالا بھولا
children	آس
children	آل
children	آل اولاد
children	اولاد
children	بال بچے
children	عیال
children	عیال و اطفال
children	پھل واری
children_brats	چینگا بوٹی
children_family	بال گوپال
children_of_israel	بنی اسرائیل
childs_bib	شلوکا
childs_go-cart	گردوں
childs_hammock	پنگھوڑا
childs_play	بازیچۂ اطفال
childs_rattle	جھنجھنا
chill	ٹھنڈا
chill	چل
chilli	مرچ
chillines	سیلن
chilliness	ٹھنڈ
chilly	جڑ
chimera	خیال
chimney	چمنی
chin	زنخدان
chin	سیب
china-ware	چینی
chinese_language	چینی
chink	جھری
chink	خلل
chink	چھن چھن چھان
chink	کھنک
chip	شوشہ
chips	خاشاک
chirp	بولنا
chirp	چرک
chirping	چرک
chirrup	چرک
chit	پرچہ
chit_chat	گفتگو
chitchat	گفت و شنید
chockfull	بھرپور
chocolate	چاکلٹ
chocolate	چاکلیٹ
choice	صمیم
choice	نفیس
choice	نقد
choice	چاہ
choice	چوائس
choice	کھرا
choice.	نادر
choice_or_pleasing_thing	تحفہ
choice_will	مرضی
choiceness	نادری
choking	وقفہ
choler	طیش
choler	پتا
cholera_morbus	ہیضہ
choleric_furious	غصہ ور
choltry_or_resting_place	چھتر
choosing	پرگرہ
choosing	پسند
chop	قاش
chopper	چاپڑ
chord	گن
chorus	اپج
chosen	برگزیدہ
chosen	مختار
chosen	مرتضی
chosen	پسندیدہ
chosen	چنندہ
chosen.	دل کش
chosen_selected	مختص
chosroes	کسری
christian	ترسا
christian	عیسائی
christian.	عیسوی
christian_monk_or_devotee	راہب
christian_place_of_worship	گرجا
christian_priest	پادری
christian_youth	ترسا بچہ
chronic	کہنہ
chronicle	تاریخ
chronicle	کارنامہ
chronogram	تاریخ
chuck_(powder	پھانکنا
chum	جلیس
church	چرچ
church	گرجا
churl	گنوار
churlish	بینڈا
cicatrice	انگور
cicatrice	نشان
cieling	سیلنگ
cigar	سگار
cigeratte	سگرٹ
cinema	سینما
cipher	آنک
circle	حلقہ
circle	دوران
circle	کنڈل
circle	گول
circuit	حلقہ
circuitousness	پھیر
circulating	دوران
circulating	پرچلت
circulation	انتقال
circulation	گردش
circumambulating	طائف
circumambulating	طواف
circumcision	ختنہ
circumference	لپیٹ
circumference	مدار
circumference	پرناہ
circumference_or_periphery	دھارا
circumlocution	طول کلام
circumscribed	پرمت
circumscribing	احصان
circumspect	دور اندیش
circumspect	صاحب نظر
circumspect	متنبہ
circumspection	احتیاط
circumspection	بصیرت
circumspection	دور اندیشی
circumspectly	احتیاطاً
circumstance	بات
circumstance	حال
circumstance	عالم
circumstance_incident	اتفاق
circumstances	بال
circumstances	دن
circumstances	مراتب
circumstances	کیفیت
circumstantially	تفصیل وار
circumvent	ٹھگنا
circus	سرکس
cissampelos_hexandra	پراچینا
citadel	کوشک
citation	دستک
cite	بلانا
cities	امصار
cities	مدن
citing	ایراد
citing_to_appear	استحضار
citizen	شہری
citizen	ناگر
city	آباد
city	بلد
city	سٹی
city	شہر
city	نگر
city	وجوہ
city	پور
city_dialect	ناگری
city_of_akbar	اکبر آباد
city_of_candahar	قندیل
city_of_medina	مدینۂ طیبہ
city_of_medina	مدینۂ منورہ
civil	خلیق
civil	سول
civil	قاضی
civil_court	دیوانی
civil_court	عدالت دیوانی
civil_hospital	سول اسپتال
civil_judge.	سول جج
civil_officer	سول افسر
civil_service	سول سروس
civilian	اہل قلم
civilian	سویلین
civility	التفات
civility	تواضع
civility	خلق
civility	سلوک
civility	شہریت
clack_tick	آہٹ
claim	ادعا
claim	استحقاق
claim	اقتضا
claim	تقاضا
claim	حقیقت
claim	دعوت
claim	دعوی
claim	مان
claimed	مدعا
claiming	ادعا
clam	چین
clammy	چپچپا
clamorous	غوغائی
clamour	دبدبہ
clamour	شغف
clamour	شوروغل
clamour	صوت
clamour	طنطنہ
clamour	ندا
clamour	نعرہ
clamp	شکنجہ
clan	قبیلہ
clandestine	مخفی
clandestine_prostitute	خانگی
clang	جھمکا
clang	جھنجھن
clang	کھڑکھڑاہٹ
clanging	جھمکا
clank	جھنجھن
clank	کھن کھنانا
clank	کھنکنا
clank	کھنکھنانا
clanking	کھڑکھڑاہٹ
clap	سوزاک
clapper	لٹکن
clapper	کھٹکا
clapping.	غچ
clapping_of_the_hands	دستک
clapping_the_hands	تالی
clarified_butter	گھی
clash	بپھرنا
clash	تصادم
clash	جھمکا
clash	کھڑکھڑاہٹ
clashing	کھڑکھڑاہٹ
clasp	چپراس
clasp_for_a_necklace.	مرسلہ بند
clasping	لگا لپٹا
clasping_in_the_arms	آلنگن
class	بانا
class	جماعت
class	حصہ
class	خانہ
class	دفعہ
class	طبقہ
class	گروہ
class_of_gipsies	کنجر
class_of_religious_order	آشرم
class_of_subordinate_deities	تشت
classical	مربوط
classification	ترتیب
classified	مترتب
clatter	جھمکا
clatter	ٹرانا
clatter	کھٹکا
clatter	کھڑکھڑاہٹ
clause	فصل
clavicle	جترو
clavicle	ہنسلی
claw	ناخن
clay	طین
clay	پلل
clay	پنکا
clay	پنکج
clay	کچرا
clayey	مٹیار
clayey	پنکیلا
clean	اچھوت
clean	بیضا
clean	دو ٹوک
clean	دھولا
clean	ستھرا
clean	ستھری
clean	شدھ
clean	صفاچٹ
clean	مانجھنا
clean	نماز
clean	پنیت
clean	پوتر
clean_polished	پھرچھا
cleaned	شستہ
cleanliness	طہارت
cleanness	صفائی
cleanness	پوترتا
cleanness	پھرچھائی
cleanse	دھونا
cleansing	تطہیر
cleansing	پوتر
clear	اجالا
clear	بیضا
clear	جلوہ گر
clear	جلی
clear	دو ٹوک
clear	شفاف
clear	عیاں
clear	فالودہ
clear	مبین
clear	محکم
clear	پرسن
clear	پرکاس
clear	پھرچھا
clear	چتا
clear	کشادہ
clear-sighted	اہل نظر
clear-sighted	بینا
clear_-_sighted	دیدہ ور
clear_and_transparent	صاف شفاف
clear_water	کنچن نیر
clearance	تصفیہ
cleared	رکت
clearing	تصفیہ
clearing_the_throat	تنحنح
clearly	صریح
clearly	صریحاً
clearness	صراحت
clearness	صفائی
clearness	غرا
clearness	پھرچھائی
clearness	کشائش
cleavage	کاٹ
cleave	پھاڑنا
cleave	چیرنا
cleaving	شق
clef	جھری
cleft	درز
cleft	شق
clegance.	تحفگی
clemency	رعایت
clemency	مرحمت
clergyman	پادری
clerk	اہل کار
clerky	کلرکی
clever	آزمودہ کار
clever	استاد
clever	بانی
clever	حراف
clever	حرافی
clever	ذہین
clever	رساں
clever	سیانا
clever	شاطر
clever	شبانہ
clever	ظریف
clever	ظریفانہ
clever	ناگر
clever	ناگری
clever	چالاک
clever	چلتر باز
clever_rascal	بانی
clever_rogue	استاد
cleverness	حرفت
cleverness	حکمت
cleverness	رسائی
cleverness	ظرف
cleverness	عقل مندی
cleverness	چالاکی
cleverness	چترائی
clew	دستہ
climate	کشور
climber	بلی
climber	بیل
climber	پرتان
clime	کشور
clink	چھن چھن چھان
clink	کھن
clink	کھن کھنانا
clink	کھنک
clink	کھنکھنانا
clip	تراشنا
clip	کترنا
clipping	تراش
cloak	فرغل
cloak	پدھان
cloak	پراورتا
cloak_for_rain	لبادہ
cloak_or_mantle	ردہ
clock	ساقیء کوثر
clock-tower	گھنٹا گھر
clog	بکھیڑا
close	اختتام
close	باندھنا
close	جگری
close	جھانپنا
close	خلوت خانہ
close	غف
close	لگ بھگ
close	ڈھگ
close	گنجان
close	گھنا
close	گہرا
close-fisted	کم خرچ
close_application	دقت
close_attention_or_care	غور
close_behind	در پے
close_by	بغل
close_connection	سنجوگ
close_friend	گہرا دوست
close_friendship	ارتباط
close_intercourse	سابقہ
close_or_strict_search	کھوج کھاج
close_together	لگا تار
close_up	کیلنا
close_upon	قریب قریب
closed	بستہ
closed	سربستہ
closed	مربوط
closely_woven	غف
closeness	گوہر
closeness_and_heat	دھمکا
closer_searcher	متجسس طبیعت
closet	حجرہ
closet	خلوت
closet	درج
closet	گوشہ
closing_(together	بھڑائی
clot	گٹھلی
cloth	دستار
cloth	سارنگ
cloth_-_merchant	بزاز
clothed_in	پوش
clothed_in_gold_brocade	زری پوش
clothes	بیونتنا
clothes	جڑاول
clothes	لباس
clothes	متاع
clothes	پوشاک
clothes	پوشش
clothes	کپڑا
clothes-horse	گھوڑی
clothing	ستر
clothing	کپڑا
cloud	ابر
cloud	بادل
cloud	سارنگ
cloud	سحاب
cloudiness	بدلی
cloudiness	دھندکار
cloudiness	گھٹا
clouding	خمر
clouds	سحاب
cloudy	دھواں دار
clout	پوتڑا
clove	پھکا
clove	گٹھا
clove___book	پوتھی
cloven_hoof	کھر
clown	بھچ
clown	نابلد
clown	گنوار
clownish	اجڈ
clownish	جنگلی
clownishness	گنوارپن
club	سماج
club	سوٹا
club	عصا
club	عمود
club	لاٹھ
club	لاٹھی
club	لٹھ
club	پناک
club	کوتک
club	گدا
club-fighting	لٹھ بازی
clue	نشان
clue	پتا
clump	جھنڈ
clumsiness	اناڑی پن
clumsy	بد ڈول
clumsy	بدہیئت
clumsy	بونگا
clumsy	جبدا
clumsy	ڈھیلا
cluster	توپ
cluster_of_trees	باغ
cluster_of_trees	توپ
clutch	تھامنا
clutch	مٹھ
clutch	مٹھی
clutch	گرفت
clutches	پھندا
cly	سیانا
clypea_hermandifolia	پراچینا
clysma	قلزم
clyster	پچکاری
co-wife	سوت
co-wife	سوتن
coach	کوچ
coach	گاڑی
coach-box	سانگی
coachman	کوچ مین
coagulated_milk	دہی
coagulation	پالا
coal-black	الٹا توا
coal_gas	کول گیس
coalescence_of_letters	ادغام
coarse	اجڈ
coarse	اٹٹ
coarse_fare	دال دلیا
coarse_kind_of_silk	ٹسر
coarse_long_grass	کھر
coarse_meal	دلیا
coarse_meal	رالی
coarse_sugar	بورا
coarse_sugar	کھانڈ
coarseness	بساند
coat	کوٹ
coat_of_arms	علامت
coat_of_mail	بکتر
coat_of_mail	جال
coat_of_mail	جبہ
coat_of_mail	کوچ
coating_around	لپیٹ
coax	پچکارنا
coaxer	مدلل
coaxer	پھسلونیا
coaxing	مدلل
coaxing	نازو نیاز
coaxing	پھلاسرا
cobra	کوبرا
cobra_id_capello	پھنن
cobweb	تار عنکبوت
cobweb:_a_pelkicle	جالا
cock	مرغ سحر
cock	ککڑ
cockle	گھونگا
cockle-shell	گھونگا
cocks-comb	کلغی
cocks_spur	خار
cocoa-nut	گوٹا
cocoa-nut_kernel	کھوپرا
cod	کوڈ
cod_liver_oil	کوڈ لور آئل
code	آئین
code	کوڈ
code_number	کوڈ نمبر
code_of_laws	شاستر
code_telegram	کوڈ ٹیلی گرام
code_word	کوڈ ورڈ
coefficient	عدد
coercion	جبر
coffee	قہوہ
coffin	تابوت
coffin	نعش
cog	دانتا
cog	دانتی
cog	کھوٹی
cogitation	تفکر
cognizance	علامت
coherence	چسپیدگی
cohesion	سانٹھ
cohesion	سنجوگ
cohesion	کھچاؤ
coil	بل
coil	کنڈلی
coil_(of_a_rope	کنڈل
coil_ply	لپیٹ
coil_within_coil	پیچ در پیچ
coiled	بل دار
coiled	پیچ دار
coiled	پیچیدہ
coin	دینار
coin	ڈھالنا
coin_so_called	روپیہ
coincidence	اتفاق
coincidence	سنجوگ
coinciding	پورا
coined	مخترع
coiner_in_a_mint.	ٹکسالی
coition	سنگار
coition	سنگت
coition	سنگم
coition.	صحبت داری
coitus	باہ
coitus	جماع
cold	جل
cold	جوڑا
cold	جڑ
cold	خنک
cold	روکھا
cold	زلال
cold	زمہریر
cold	سرد
cold	سہری
cold	سیتل
cold	سیلن
cold	ٹھنڈ
cold	ٹھنڈا
cold	ڈھیم
cold-blooded	سرد مزاج
cold-hearted	ٹھنڈا
cold_boisterous_wind	صرصر
cold_season	سرما
cold_sigh	دم سرد
cold_war	اعصابی جنگ
coldness	رکھاوٹ
coldness	ٹھنڈ
colic	درد شکم
collar	حلقہ
collar	طوق
collar-bone	جترو
collarbone	ہنسلی
colleague	کولیگ
collect	بٹورنا
collected	دھیر
collected	فراہم
collected	مجموع
collected_in_mind	مجموع خاطر
collectedness	جمعیت
collecting	تحصیل
collecting	حاوی
collecting_an_army	لشکر کشی
collecting_by_small_quantities	جوڑ جاڑ
collection	اجتماع
collection	اجماع
collection	تحصیل
collection	جمعیت
collection	سنگت
collection	فراہم
collection	مجمع
collection	وصول
collection	گھٹا
collection_of_things	جمعہ
collection_of_threads	سوتر
collection_of_trees	حرج
collection_or_party	گروہ
collective	جامع
collective	مجموع
collective_body	دفعہ
collective_mass	مجموعہ
collectively	جزو کل
collector	حاوی
collector_ship	تحصیل داری
collectors_of_revenue	عملہ
college	آشرم
college	مدرسہ
college	مٹھ
collegiate_mosque	مدرسہ
collide	لڑنا
collision	بھڑائی
collision	تصادم
collision	دھکا
collision	صدمہ
collision	ٹکر
collusion	اتفاق
collusion	سازش
collusion	سانٹھ
collusion	سانٹھ گانٹھ
collyrium	آنجن
collyrium	کحل
colonial_power	استعمار
colonization	استعمار
colony	آبادی
colony	بستی
color	دھیمی
colour	بانا
colour	حیلہ
colour	رنگ
colour	رنگ روپ
colour	رنگ ڈھنگ
colour	رونق
colour-altered	رنگ شکستہ
colour-blind	رنگ خورہ
colour-man	رنگ ساز
colour-manufacturer	رنگ ساز
colour_blind	کلر بلائنڈ
coloured	بادامی
coloured	رنگ آمیز
coloured	رنگا
coloured	رنگین
coloured	رنگینی
colouring	رنجک
colouring	رنگ آمیزی
colouring	رنگ ریزی
colours	الوان
cols	زکام
colt	بال
coluber_naga	ناگ
column	خانہ
column	ستون
column	عماد
column	عمود
column	لاٹھ
column	کوٹھا
columnist	کالم نگار
coma	سن
coma	کوما
comb	کلغی
combat	رن
combat	لڑائی
combat	محاربہ
combatant	جنگی
comber	حلاج
combination	اتحاد
combination	اتفاق
combination	اجتماع
combination	ایکا
combination	سازش
combination	سانٹھ گانٹھ
combination	سنجوگ
combining	اجتماع
combining	ترکیب
combining	جامع
combining	سانٹھ گانٹھ
combustion	جلن
combustion	سوختگی
combustion	پرداہ
come_into_use	کار آمد
come_to_an_end	مٹنا
come_undone	ادھڑنا
comeliness	جمال
comeliness	صباحت
comeliness	فر
comely	حسین
comely	سندر
comely	شکیل
comely	قبول صورت
comely_or_pleasing	تحسین
comet	دم دار ستارہ
comfort	آسائش
comfort	تسلی
comfort	تقویت
comfort	شانتی
comfort	غم خوارگی
comfort	نعمت
comfort	نوازنا
comfort	چین
comfort	ڈھارس
comfort.	دلبری
comfortably	آرام سے
comfortably.	فراغت سے
comforter	غم خوار
comfortless	دل شکستہ
comical	ظریف
coming	آمد
coming	آوا
coming	آگم
coming	گت
coming_and_going	آمد و رفت
coming_and_going	آوا جاوی
coming_and_going	آواگمن
coming_back	عائد
coming_back	مراجعت
coming_in	آمد
coming_in	درآمد
coming_in	چھرا
coming_or_going_forth	پرچار
coming_out	اترن
coming_to_life	نشر
coming_to_pass	ظہور
coming_to_pieces	تخلخل
command	ارشاد
command	بس
command	حکم
command	سندیسا
command	فرمان
command	فرمانا
command	فرمودہ
command	قابو
command	پروانگی
command	پیش قدمی
command	کمان
command_after_command	کش مکش
commanded	فرمودہ
commander	آمر
commander	سالار
commander	فرمان دہ
commander	فرمان گزار
commander_of_an_army	سپہ دار
commander_of_an_army.	سپہ سالار
commander_of_the_fleet	امیر البحر
commanding	تحکم
commanding_and_counter_commanding	کش مکش
commanding_officer	کمان افسر
commando	ارشد
commands	فرمائش
commands	مراسم
commemoration	تذکیر
commemoration	ذکر
commencement	آغاز
commencement	ابتدا
commencement	بدایت
commencement	بدو
commencement	بنا
commencement	شروع
commencement	فاتحہ
commencement	پراربدھ
commencement	پربھرت
commencement	پرکرم
commencement	پہل
commencement_of_an_eclipse	پرگرہن
commencing	فطر
commendable	حمید
commendable	حمیدہ
commendation	مدح
commendation.	خلعت
commended	حمید
commended	حمیدہ
commending	تقریب
commentary	تفسیر
commentary	کارنامہ
commentary	کمنٹری
commentator	کمینٹیٹر
commerce	اشترا
commerce	بنک پتھ
commerce	علاقہ
commerce	معاملہ
commerce.	خرید و فروخت
commercial	تجارتی
comming_forth	بارز
commiserating	غم خوار
commiseration	غم خوارگی
commission	آڑھت
commission	برات
commission	دستک
commission	سندیسا
commission	عہدہ
commission	فرمائش
commission	وکالت
commission	کمیشن
commission_agent	کمیشن ایجنٹ
commission_officer	کمیشن افسر
commissioner	امین
commissioner	کمشنر
commit	کمانا
commit_.	فرمانا
commit_to_charge	سونپنا
commitment	حوالہ
commitment	سپرد
commitment	سپردگی
commitment	کمٹمنٹ
committee	جلسہ
committee	کمیٹی
committing	تفویض
committing	مرتکب
committing_adultery_or_fornication	فاجر
committing_suicide	جوہر
commodore	کموڈر
common	بازاری
common	رائج
common	عام
common	کلی
common_bead-tree	بکان
common_house-lizard	ٹکٹکی
common_noun	نکرہ
common_people	رعایا
common_people	عوام
common_place_book	کشکول
common_practice	روش عام
common_senna_of_medicine	سنا
common_sense	کامن سنس
common_sort	عوام
common_talk	گفت و شنید
common_talk	گفتگو
common_woman	بازاری عورت
commonalty	عوام
commonly	عموماً
commonly_called_budgerow)	بجرا
commons_(by_the_day	وظیفہ
commotion	افراتفری
commotion	اندھا دھند
commotion	تحریک
commotion	تذبذب
commotion	حرکت
commotion	حشر
commotion	حشرات
commotion	غلو
commotion	غوغا
commotion	قلق
commotion	پرخاش
commotion	کھل بلی
commotion	کھلبلاہٹ
commotion	ہلچل
commotion	ہنگامہ
commotion	ہیجان
communicating	شامل
communicating	نار
communication	آمد و رفت
communication	آوا جاوی
communication	علاقہ
communication	پیام
communion	اشتراک
communiqué	اعلامیہ
communism	کمیونزم
communist	کمیونسٹ
community	برادری
community	جنت
community	کمیونٹی
community_well	پنگھٹ
compact	اتحاد
compact	اقرار نامہ
compact	ایکا
compact	حبل
compact	عقد
compact	عہد
compact	محکم
compact	ٹھوس
compact	ٹھیک
compact	گنجان
companion	بازو
companion	جلیس
companion	حواری
companion	ساتھی
companion_(in_travelling	رفیق
companion_or_disciple	حواری
companions	اخوان
companions	اخوت
company	بزم
company	جتھا
company	جماعت
company	جھومر
company	حفل
company	حلقہ
company	رمہ
company	زمرہ
company	ساجھا
company	سبھا
company	سنگت
company	سنگم
company	میلہ
company	ٹول
company	پنکت
company	کمپنی
company	گروہ
company-mark	کمپنی مارک
comparative_degree	تفضیل بعض
comparison	اشتباہ
comparison	اپما
comparison	اپیکشا
comparison	نسبت
comparison	ٹکر
compartment	حصہ
compartment	خانہ
compartment	کمپارٹمنٹ
compartment_examination	کمپارٹمنٹ کا امتحان
compass	احاطہ
compass	لپیٹ
compass	پرناہ
compass	کمپاس
compassion	ترس
compassion	درد
compassion	رحم
compassion	رحمت
compassion	رقت
compassion	شفقت
compassion	عطف
compassion	مایا
compassion	مرحمت
compassionate	درد آمیز
compassionate	درد مند
compassionate	دل سوز
compelled	جبری
compendium	اجمال
compensation	اجر
compensation	اجرت
compensation	بدلا
compensation	جزا
compensation	جواب
compensation	زر معاوضہ
compensation	معاوضہ
compensation	پاداشت
compering	کمپیئرنگ
competence	جد
competency	دخل
competency	قوام
competency	کفایت
competent	قادر
competent	لائق
competent	مختار
competent_authority	حاکم بااختیار
competition	دیکھا دیکھی
competition	ٹکر
competition	کمپیٹیشن
competitor	رقیب
compilation	تدوین
compiling	تصنیف
complacent	پرسن
complain	بلبلانا
complaining	استغاثہ
complaining	شاکی
complaining_justice	الغیاث
complaining_lament	نواح
complaint	استغاثہ
complaint	الغیاث
complaint	اپباد
complaint	اپواد
complaint	بکا
complaint	شکایت
complaint	شکوہ
complaint	فغاں
complaint	نالہ
complaint	نواح
complaint	گلہ
complete	بنانا
complete	سارا
complete	ٹھیک
complete	پورا
complete	پورت
complete	کلی
complete_assortment	ٹولا
complete_or_accurate_knowledge	پر ویدن
complete_sentence_or_proposition	کلام
complete_works	کلیات
completed	تیار
completed	پرکرت
completely	بالکل
completely	بخوبی
completely	سراسر
completely_burnt	پر پکوہ
completely_cooked_or_dressed	پر پکوہ
completely_satisfied	پرتشٹ
completely_wet	تربتر
completing	تتمیم
completing	رفع
completing	پرداز
completing	پورتی
completing	پورک
completing_(comprehensive	جامع
completing_or_filling_up	وفا
completion	اتمام
completion	اختتام
completion	ادا
completion	انصرام
completion	تتمیم
completion	تناہی
completion	وفا
completion	پایان
completion.	انتہا
completion_of_ones_wishes	توفیق
complex	کمپلیکس
complexion	حلیہ
complexion	طبیعت
compliance	انقیاد
compliance_with_command	استطاعت
compliant	رضامند
complicated	پیچ دار
complicated	پیچ در پیچ
complicated	پیچیدہ
complication	الجھن
complication	بکھیڑا
complication	جھمیلا
complication	پیچ
complication	پیچیدگی
compliment	تحیت
compliments	صاحب سلامت
component	پرزہ
component_part	پرزا
compose	بنانا
composed	بجھنا
composed	سنجیدہ
composed	مجموع
composed	پرسن
composed_in_min	آسودہ حال
composed_of_fire	آتشی
composer	منشی
composer	ناظم
composer	نظام
composer_of_melodies	ترانہ پرداز
composer_of_verses	ناظم
composing	تصنیف
composing	تنظیم
composing	رچنا
composing	نظم
composing	کمپوزنگ
composing_melodies_or_songs	ترانہ پرداز
composition	انشا
composition	بناوٹ
composition	ترکیب
composition	رچنا
composition	سفارت
composition	نظام
composition	کلام
composition_which	بیری
composure	جمعیت
composure	طمانیت
compound	ترکیب
compound	دوہرا
compound	دہرا
compound	کمپاؤنڈ
compound_interest	سود در سود
compounding	سنجوگ
comprehend	جاننا
comprehend	پہچاننا
comprehended	داخل
comprehender.	حاوی
comprehending	استدراک
comprehending	جامع
comprehending	حاوی
comprehensible	قریب الفہم
comprehension	احصا
comprehension	اشتمال
comprehension	بدھ
comprehension	دخل
comprehension	دریافت
comprehension	سمجھ بوجھ
comprehension	فام
comprehensive_example	زندہ مثال
compress	دبانا
compressed	مدخولہ
compression	چپک
comprising	جامع
comprising	حاوی
comprising	درج
compromiser	صلح
compromising_wheat	ربیع
compulsion	اضطرار
compulsion	جبر
compulsion	لزوم
compulsorily	مجبوراً
compulsory	جبری
computation	تعداد
computation	حساب
computation	حسب
compute	گننا
computed	مرقوم
computer	کمپیوٹر
computer-system	کمپیوٹر سسٹم
computing	حسب
computing	شمار
computing	گنتی
comrade	بھیا
comrade	جلیس
comrade	رفیق
comrade	ساتھی
concatenation	تسلسل
conceal	جھانپنا
concealed	بپت
concealed	خافی
concealed	در پردہ
concealed	رو پوش
concealed	روپوش
concealed	غائب
concealed	غیب
concealed	مخفی
concealed	ناپدیدہ
concealing	خمر
concealing	ستر
concealing.	دفن
concealment	استتار
concealment	حجاب
concealment	خفا
concealment	غیبت
concealment	پدھان
concealment	پردہ
concealment	پنہانی
concealment	پوشیدگی
concealment	گھات
concealment.	روپوشی
concealment_of_a_fault	عیب پوشی
conceding	تسلیم
conceit	ترنگ
conceit	خودی
conceit	خیال
conceit	دماغ
conceit	فکر
conceit	ٹن
conceited	اتان
conceited	خود آرا
conceited	دماغی
conceited	نازاں
conceited.	خود پسندی
conceits	نکات
conceivable	قریب الفہم
conceive	جاننا
conceiving	دریافت
conceiving	وہم
conceiving_well_of_anything	استسعاد
conception	تصور
conception	خیال
conception	دریافت
conception	گیان
concern	بات
concern	بانٹ
concern	خیال
concern	علاقہ
concern	غم
concern	فکر
concern	پروا
concern	پڑنا
concern	کام
concern	کھٹکا
concerned	غرض مند
concerns	سوچ
concert	اتفاق
concert	مجلس رقص و سرود
concert	کنسرٹ
concession	قبول
conch	ابج
conciliated	پرسن
conciliating_or_winning_hearts	تالیف قلب
concluded	قراری
conclusion	اختتام
conclusion	انصرام
conclusion	خاتمہ
conclusion	ختم
conclusion	عقبی
conclusion	وفا
conclusive	ناطق
conclusively	قطعًا
concocting	ہضم
concoction	تحلیل
concomitants_of_gay_world	رقص و سرور
concord	آشتی
concord	اتحاد
concord	اتفاق
concord	ایک تال
concord	جگت
concord	دم سازی
concord	یگانگت
concordant	مربوط
concourse	انبوہی
concourse	بھیڈ
concourse	جھمکا
concourse	حشر
concourse	ٹھاٹ
concourse	ہجوم
concrete	کنکریٹ
concreted	منجمد
concubine	مدخولہ
concubitus	جماع
concupiscence	شہوت
concupiscence	پروا
concurrence	اتفاق
concurrence	اجماع
concurrence	بیونت
concurrence	قبول
concurrent	متفق
concurrently	اتفاق سے
concurring	اتفاقی
concussion	ٹکر
condemning:-	تحکم
condescension	فروتنی
condiment	سوپ
condiment_of_sliced_pumpkin	رائتا
condition	بال
condition	حال
condition	حساب
condition	حسب
condition	حیثیت
condition	دب
condition	رتبہ
condition	سماں
condition	طور
condition	عالم
condition	قید
condition	کنڈیشن
condition	کیفیت
condition	گت
conditional_particle	حرف شرط
conditional_proposition	حیثیت
conditions	مراسم
condolence	تحسر
condolence	شفق
condolence	عزا
condolence	غم خوارگی
condolence	پرسہ
condoling	غم خوار
conducive	کار آمد
conduct	آچار
conduct	برتاو
conduct	تدبیر
conduct	سلوک
conduct	سیاست
conduct	سیرت
conduct	طور
conduct	پرچار
conduct	چرتر
conduct	چرن
conduct	چلاؤ
conduct	کارروائی
conduct_of_an_army	لشکر کشی
conducting	راہ بری
conductor	راہ بر
conductor	کنڈکٹر
conduit	نل
cone	سانچا
cone	گاؤدم
confectioner	حلوائی
confederacy	سازش
confederacy	سانٹھ
confederacy	سانٹھ گانٹھ
confederation	اتفاق
confedrate	پٹھوال
confession_ascertainment	تقریر
confession_of_judgment	اقبال دعوی
confidant	ثقہ
confidant.	غم گسار
confidence	اذعان
confidence	تقویت
confidence	دم سازی
confidence	عماد
confidence	وثوق
confidence	پتیارا
confidence	پرنے
confidence	ڈھارس
confidence	یقین
confidence.	چشم داشت
confident	ڈھیٹ
confidential	پردہ نشین
confidential_relationship	پرنے
confiding	تفویض
confiding	وثوق
confiding	گرویدہ
configuration	جنم پتری
confine	باندھنا
confinement	باندھ
confinement	حبس
confinement	قید
confining	پرگرہن
confirmation	استحکام
confirmation	استقرار
confirmation	استواری
confirmation	بحالی
confirmation	تصدیق
confirmation	تقرر
confirmation	تقریر
confirmation	جائزہ
confirmation	صحت
confirmed	بحال
confirmed	مقرر
confirming	استقرار
confirming	تشدید
confirming	تقریر
confirming	تقویت
confirming_in_possession	استقلالی
confirming_the_truth	تصدیق
confiscation	ضبطی
confiscation	قبض
conflagration	احتراق
conflagration	سوزی
conflict	جنگ و جدل
