bottomless	اتھاہ اگم بے پیندہ
injunction	احکام اِذن آدیش تاکید دفتر رسم امر چھوٹ ہدایت حکم نامہ فرمان قدغن
ordinance	احکام اِرشاد برات حکم شرائع ضابِطہ قانون کلپ سرکاری ضابطہ
decree	احکام بدا حکم ڈِگری سند قضا فیصلہ فرمان نامہ فتویٰ
column	اِحکام ارکان اساطِین تُھونی جدول چانڈ چرن سُتُون عماد قائِمہ کھمبا مد تھم فوجی قطار لاٹ پیل پایہ ستون
strengthen	اِحکام تسدید تصمیم تقاوی تقویت تقویم مُقوّیٰ مُقوّی مُؤیّد مُؤیِّد محکم پختہ سخت استوار تائید
pillar	اِحکام ارکان اڑانا اساطِین تُھونی ٹیک ٹیکن چرن دھاک رُکن سُتُون عماد عُمدت عمود قائِمہ قِوام کھمبا لاٹ لاٹھ مِینار تھم پیل پایہ رکن تھونی
dream	احلام حُلم خواب رُویا سپنا سنچل منام ارادہ رویا دیکھنا
mild	احلم بُردبار بِھینی ٹھنڈا حلِیم دِھیما سلیم گُلابی مُعتدِل مُلائم مندا مِیٹھا نرم وقر ہلکا آہستہ دھیما حلیم معتدل
forbear	احلم بُردبار حلِیم صابِر مُتحمِّل محتاط رہنا پرہیز کرنا کترانا روکے رکھنا
patient	احلم بُردبار بِیمار ٹھنڈا شِکیبا صابِر ضابِط مُتحمِّل مریض مُستشفی بیمار مریضہ
cargo	احمال بار کھیپ لداؤ مال
load	احمال بار بوجھ بوجھل بھار بھرتی پرتال پُشتارا تحمیل ٹوکرا ٹھیکی حمل دُھر کسنا کھیپ لاد لادنا لدا لداؤ محمول محمولہ وبال زیر مال اسباب پشتارا ثقل وزن
red	احمر ارغواں الحمرا اِینگر بھابھرا بھبُوکا تنبولا حُمر حمرا حِنائی رتنار سُرخ سُرخا سُرنگ سوہا سیندُوری شہابی قانی قُزح قِزِل گُلرنگ گُلفام لعلیں صلیب سرخ کاما لتا بحیرہ ہیرا مچھلی پٹوا خانہ پری لال
idiot	احمق اُلُّو بجر بڑبک چُوتِیا گَھونچُو گِھیچڑ بے وقوف گاؤدی حیوان کندہ نا تراش
simpleton	احمق البیلا انیلا بُدّھو بغلول بلید بُوبک بَوکھل بھُگّا پولی پونگا جُہّال چُقنّس چوچر غبی کَودن گاؤدی گدھا گنوار گَوکھا گُھگوُّ للّا للُّو مودُھو گاؤدی سادہ لوح
dunce	احمق بڑبک چمپُو چَوپٹ چُوتِیا چوچر گَھونچُو گھونگا مُچھندر غبی
club	احنف انجمن بانڈی پٹابازی پِناک چاکی چوب خُتکا دبُوس ڈانگ سونٹا عصا کُوتک گتکا گدکا گوجی لاٹھی لبیدا لکڑی ڈنڈا چابک چمک چوٹی چور گرز لٹھ اکٹھا ہونا ملنا متحد
state	احوال انداز اوَستھا اِیراد بال جلال جُون حال حشمت دِشا دَولت راشٹر رِیاست سلطنت سماں شکل طَور کایا کروٹ کَیفیّت گت لیکھا ماجرا مُبیّنہ مدینہ مُظہر وضع ہائی حالت دبدبہ علاقہ دولت و قال ہئیت حکومت کیفیت ملک نوبت راج ریاست شان طور بیان کرنا سلطانی گواہ
condition	احوال انداز اوَستھا بات بال تقیُّد جُون حال حالات حالت دِشا سماں شان شرائط شکل صُورت طَور عالم قرائن قَید قُیود کایا کروٹ کَیف کَیفیّت گت لیکھا ماجرا مُعتاد نقشہ نَوبت وضع ہائی و قال ہئیت حقیقت کیفیت شرط صورت طرح طور
circumstance	احوال اوَستھا اَوقات بات چِگونگی حال حالات حالت دِن قرائن ماجرا موقعیت شرا ات اتفاق
event	احوال اخبار اصل امر سماچار سوانح ماجرا مواقع واردات واقعات وقائع وُقُوع واقعہ ایونت موقعیت کاربرد اتفاق قصہ سانحہ
incident	احوال حادِثہ سانِحہ سنجوگ سوانح عوارض ماجرا واردات واقعہ وقائع وُقُوع سانحہ
affair	احوال اُمُور آشنائی باب بابت چِگونگی خطب قِصّہ کاج کار کار(و)بار کام مبانی مُعاملہ امر بات بیوپار حال جھڑپ کاروبار ماجرا معاملہ واردات
poorer	احوج تعبہ
inevitable	احوج الزم آنی برحق لابُدی لازِمی مُبرم ناگزیر ناگُزیر اٹل لازم قسمت کا لکھا شدنی یقینی
squint	احوَل بھَینگا تِرپٹ ٹگرا چرغِینہ حوَل ڈھیرا کَیرا آڑا پن منحرف بھینگا جھانک نظر ترچھی
family	احیا اصل اعیال انساب اِیماق بنس پانت پِچھوپا پرجا پرِوار پرِیوار پگا تانتی تبار تبّڑ ٹانڈا ٹبّر جات جتاڑا چُولھا چھوت چَھیّا خاندان خانُماں خانوادہ خُون خویش دائرہ دُودہ ذُرّیّت سِکِن سنتان عائِلہ عشیرہ عِیال قبیلہ قَوم کُل کُنبہ کُوٹُمب گھراٹ گھرانا لڑجڑ مُتعلِّقین نِژاد نسب نِشانی نِہاد ہڈ عمران قربانی شجرا آل عائلہ بال بچے گھر بار کنبہ
clan	احیا اُلس اُلُوس پانت پُنّیائی تانتی جات جِرگہ حَے قبائل قَوم کُنبہ کُوٹُمب ونش قبیلہ برادری کنبہ
revival	اِحیا اِنبِعاث تجدید
revitalization	اِحیا اِنعاش
resurrection	اِحیا اِنبِعاث بعث حشر رجعت رستاخیز قِیام قِیامت نشاۃُالاخریٰ نُشُور قیامت
vivification	اِحیا
moment	احیان پلک پھٹکا پھٹکی تِل ثانِیہ چھن دقائق دم کھن گھڑی لحظہ مہورت نفَس لمحہ آن دقیقہ لحذہ پل ساعت ثانیئہ
occasionally	احیاناً اب تب گاہے کبھی کبھار خال وقتاً فوقتاً
unmindfully	احیاناً غفلت سے لاپرواہی
sometimes	احیاناً اُوکےچُوکے گاہ گاہے گہ گہے کبھی
brother	اخ اخو اِخوان اخی بازُو بِرادر بڑکا بہنوئی بِیر بِیرن بھیّا جِیجا لالہ وِیر بھائی سالا بھا بھائ ہم شیر
gurgle	اخ دھلدھلانا قُلقُل گُڑُگڑ گُڑگُڑانا قل
cousin	اخ عموزادہ چچا زاد خالہ ماموں پھوپھی
imbibe	اخّاذ آشامی پِینا چُوسنا ڈوکنا جذب شدہ کرنا چوسنا پینا ہونا
intelligent	اخّاذ باخبر باشعور باشُعُور بیدارمغز پرَوین تیز ثقیف جزرس دانندہ دِقاق دقّاق رمیز زِیرک سُجان سُرتا عاقِل عاقِلانہ عالِم فرزانہ فہمیدہ فہیم لبیب مُدرِک نز ہوشمند ذہین ہوشیار عاقل عقلمند دقیقہ رس نقطہ دان پڑھا لکھا سیانا تبباع ذکی
absorb	اخّاذ پِینا چُوسنا غرِیق لَولین لینا مُتجاذِب مست مُستغرق مگن مُنجذب مُنہمِک مُہتم نِرت غرق محو گم جذب مجذوب دلچسپ پرکشش چوسنا کرنا کھینچنا پینا پیوست
aha	اخّاہ آہا اچھا اخاہ
modesty	اِخبات اِنکسار پانی پردہ توقُّر جھپک حِجاب حِشمت حیا دبک سکُچ شرم عفاف عِفّت غَیرت لاج لجّا محجوبی مستُوری نامُوس وقار ہِواؤ غیرت حجاب جھینپ خاکساری لحاظ پاک دامنی
meekness	اِخبات اِفتقار اِنکسار تذلُّل خُشُوع عاجِزی غرِیز مِسکینی نمرتا بے ہمتی مسکینی
newspaper	اخبار پترِکا پرچہ جریدہ روز نامہ نویس
news	اخبار اِطّلاع بیورا پتا پترِکا پَیغام خبر سماچار نبا وقائع نیاخبار نگامہ تبلیغات رساں ادارہ اخباری اجلاس چبوترا, دکانچہ, تھڑا یا نشریہ بات اطلاع خبریں پیغام
divination	اخبارباِلغیب اِستخارہ رمَل کہانت
intelligence	اخپخ اِستخبار اِطّلاع بُوجھ بیورا پربودھ پرگیان پنڈا چاروی چٹک خبر درّاکی دھی ذہانت زِیرکی سُدھ سُقراطیت شُعُور فرزانگی فطانت گیان مت وقف ہوشمندی ہوشیاری فہم آگاہی آگہی جودت خرد مندی سمجھ بوجھ شناس ذکاوت
wisdom	اخپخ اِدراک افہام الباب اَورنگ آدمیّت بُدھ بُدّھی بِینش پربودھ پردھان پرگیان پنڈا پہنچ تعقُّل تفاہُم چتُرائی چوج چیتَنا حدس حذاقت حِکم حِکمت خِبرت خِرد دِرایت دِماغ دھی رُشد زِیرکی سُقراطیت سِیان شُعُور عِرفان عقل عُقُول فِراست فرزانگی فرہنگ فطانت قِیافہ گیان مایا مت وُقُوف ہنگ ہوشمندی ہوشنگ دانائی دانش ہوشیاری عقلمندی دانائ مندی فضل فراست فطرت حکمت علم عرفان خرد شعور
sister	اُخت اخوات بنّو بھاوج جامی خواہرانہ سالی لالی نند ہمشیرہ بہن خواہر ہم شیرہ
test	اِختبار اِمتحان آزمانا آزمُودہ آزمُون بِچار پاس پرکشا پرکھ پرکھنا تانا جانچ جچا جموگنا خِبرت دیکھا کسنا مِحک مِحن آزمائش جانچنا تست آزمودہ امتحان لینا تولنا کسوٹی معائنہ پڑتال تجربہ
evaluation	اِختبار اندازہ تخمینہ تشخیص مُحاکمہ
experiment	اِختبار آزمُون تجربہ خِبرت آزمائش امتحان پرکھ
analysis	اِختبار تجزّی تجزیہ تحلیل تشقیق
experimental	اِختباری تجرباتی
analytic	اِختباری تحلیلی
experimentalism	اِختباریت تجربیت
insanity	اِختباط آشُفتگی بَولاہٹ جُنُون دِیوانگی مد باؤلا پن دیوانہ جنون خبط پاگل سودا
craze	اِختباط جُنُون خبط خبل خُرافت سِڑ سنک سَودا سودا
mania	اِختباط اُدمات خبط سنک عشق جنون پاگل پن سودا
paranoia	اِختباط حُمق
maniac	اِختباطی سنکی خبطی مجنون پاگل
paranoiac	اِختباطی
end	اِختتام اخیر اغراض القط انت اِنتہا انجام اِندراس اِنصرام اِنقراض اِنقطاع اواخر آخِر آخیر بڑھانا بس بُن پایان پرناش پرِنام تمام تھاہ ٹونک ٹِھکانا چھور حشر خاتِم خاتمہ خِتام ختم دُبُر دُم دُھر ذنَب راس سر سِرا سِرے سلب سماپت عاقِبت عواقب غرض فرجام فقط کناّ کِنارہ کُنہ کنے کھپانا گت گُزشتہ مآل مُراد مقطع مُنتہا مُنقضی نِباڑنا نتیجہ نوک نِہایت اختتام انتہا آخر کرنا تک پہچانا نبیڑنا ہونا پہنچنا عاقبت دم کناری کنارہ مائل نہایت پار پایاں
finish	اِختتام اِکمال اِنتہا اِنتہیٰ اِنقطاع بس بنا پارنا پرداختہ پرداز پرِنام تکمیل تمّت تیارّ چُکانا خاتِم خاتمہ خِتام سماپت سمپُورن سِمٹنا سمیٹنا کرنا کھپانا لِیپاپوتا لَیس مُختتم مُنقضی مُنقطِع ختم مکمل تیار آخر انجام کو پہنچانا چکانا نبیڑنا نبٹانا پاک پورا
termination	اِختتام انت اِنتہا انجام آخِر پار پایان تکمیل تمامی ختم عاقِبت مآل انسرام اتمام خاتمہ پایاں
close	اِختتام ادنیٰ اِدھر اِردگرد انت اِنتہا انجام آگے بڑھانا بستہ بِھڑا پٹم خامنا خسیس ڈِھگ سانکری سربستہ قریبی قرین گُتھواں گُنجان گہری لگنا مسدُود مُندا مُوند مُوندنا نزد نِکٹ نِمٹانا نیڑے بند گھنا نزدیک وڑا درد ور قرب الطفات غور نگاہ توجہ مسدود حریص آڑی ہم جلیس یار جگری نزدیکی تصویر گہرا گنجان کنجوس خفیہ ڈھکا خاص نہاں نجی پاس پیوستہ تنگ ذاتی کرنا ڈھنکنا پاٹنا آخر گلی اختتام بندش خاتمہ
last	اِختتامی اِستمراری انتِم اِنقطاعی آخِر آخِری آخِریں آخیر باقی دیرپا پائدار پائندہ پِچھلا پر پسین پُوربک تمامی ٹِکائوُ چلاجانا چلنا دائم دائمی دُھرُو دِھیر رہنا سرجیون شِیش غابِر غائی قائِم قیوّم گُزشتہ ماقبل مُحکم مُستمِر مضبوط نِہائی واپسیں اخیر خر ختام پایانی خرا نزع دوامی دیر پا مستقل پکا قائم ثابت آخرش آخرین آخری اخیری انجامی حتمی اختتامی گذشتہ انتہائ نہایت پچھلا پھسڈی قطعی برداشت ہونا بروقت جاری بس کافی خراب نا موجود ٹکنا حوالہ حصہ
conclude	اِختتامی خاتِم ختم مُختتم مختوُم مُصمّم مُنتج نبیڑنا نِپٹانا نِمٹانا نہیں قرار طے فیصلہ کرنا شامل نتیجہ پر پہنچنا آخری
finale	اِختتامیہ اخیر خاتمہ
star	اختر انجم تکّی ثابِت ثابتہ ثوابِت سِتارہ کواکب کَوکب گُھور نُجُوم نکشتر تارا نجم منجم نجومی عجم ستارہ
artifice	اِختراع ٹیو چھل حِرفت حِیلہ دائو فن فند کھیل لندپھند مکائد مکر گھات حرفت تدبیر
concoction	اِختراع تلفیق
fabrication	اِختراع اُشغُلہ اِفترا افسانہ اِفک اکاذیب باندھنُو بھرتی تصنُّع تلفیق جعل جُھوٹ صنعت سازی شگوفہ
innovative	اِختراعی نویلا ایجادی اختراعی
shorthand	اِختزال
abbreviation	اِختصار ترخیم مُخفّف اختیار مخفف تقسیر
precis	اِختصار اِختصاریہ تلخیص
brevity	اِختصار کوتاہی
resume	اِختصاریہ دو بارہ شروع ہونا پھر جاری
specialization	اِختصاص تخصُّص تخصیص
characteristic	اِختصاص بسیکھ چِنھ خُو صِفت امتیازی خصوصیت نمایاں
peculiarity	اِختصاص تخصیص خاصہ خاصِیّت خُصوصیّت خواص خاصیت خصلت
specialistic	اِختصاصی
specialized	اِختصاصی
concealment	اِختفا اِستتار اِغتطا اِکتتام اوجھل پردہ تبطُّن تعبیہ تعمیہ چُھپائو حِجاب خِفا روپوشی کتم کِتمان گھات مستُوری نِہانی نِہفتگی اِخفا پوشیدگی آڑ چوری دفن خفہ
palpitation	اِختلاج پُھرپُھری پھڑک تپِش تپک تڑپ ٹِیس خفقان دھڑک دُھکدُھکی دھڑکن دھڑکا لپک
mixture	اِختلاط اِمتزاج آمیخت آمیزش بھیل پُٹ تلاحُق جوگ خلط خلیط رلا سنگم شائبہ کِھچڑی گھولوا مِلاوٹ مِلَونی میل آمیزہ اختلاط امتزاج کھچڑی ملاوٹ ترکیب
friendship	اِختلاط اِرتباط اِلتفات اُلفت دوستانہ اِئتلاف ایتلاف آشنائی پرگت پریم پیار تحبُّب حُب خُلّت خُلُوص ڈانڈا ربط رفاقت سُلُوک صحابت صُحبت صُلحہ لگّا مِترتا مُخالطت مُصافات مِلاپ مُوالات مُودّت وِداد وِلا ہِت ہواخواہی یارانہ یاری یاوری دوستی آشنائ الطفات میل محبت رابطہ رسم و راہ سابقہ ساتھ انس
amalgamation	اِختلاط اِدغام اِنضمام ضم مِلاوٹ انظمام
amity	اِختلاط وِلا دوستی بھائ چارا میل
difference	اِختلاف انتر بُعد بکھیڑا بل بَون بِیچ پرَکار پھیر تبایُن تعرُّض تغایُر تغیُّر تفارُق تفاریق تفاضُل تفاوُت تفرُّق چل رغم نِفاق فرق فار دوئ اختلاف ہیر نااتفاقی
disagreement	اِختلاف بِگاڑ پُھوٹن تخلیف گانٹھ مُخالِفت مُغائرت ناچاقی ناموافقت نامُوافقت ان بن اختلاف مخالفت نااتفاقی
dissension	اِختلاف پُھوٹ تخلُّل تفرُّق تفرقہ رفض گِرہ ناسازی فساد پھوٹ
antagonism	اِختلاف آنٹ تخالُف حرِیفی رقابت نوائِر بیر دشمنی لاگ
opposition	اِختلاف اِعتراض اُکھیڑ بادھ تبایُن تخالُف تخلیف تعارض تعرُّض تنقیض چشمک خِلاف سامنا ضِد کاٹ کد مُخاصمت مُخالِفت مُزاحمت مُعارضہ مُقابلہ مُقاومت مُناقضہ نقیض تضاد مخالفت مقابلہ مزاحمت نقیذ ضد
contradiction	اِختلاف بُطلان پلٹائو تبایُن تعارض تغلیط تکذیب تناقُض مُعارضہ مُناقضہ تردید تضاد انکار خلاف گوئ نقیذ رد
controversial	اِختلافی مُتنازع شکل ناق جیسا جنگل متنازع
dispute	اِختلافی باد بِباد بحث بکھیڑا بیادھ پخ پھڈّا تِتمبا تعارض تکرار تنازعہ ٹانچ جِدال جدل جھانجھ جھگڑا جھگڑنا خِصام راڑ شاخسانہ شر شِق عربدہ قِصّہ قضایا قضیّہ کشِش کھٹکھٹا مُتنازع مُعارضہ معرکہ مُقدّمہ مُناقشہ مُنہامونہی نِزاع تکلیف اختلاف نزاع متنازع کرنا حجت مباحثہ سات پانچ الجھ پڑنا نذاع پرخاش قضیہ قصہ تنازع الجھاؤ
dissent	اِختلافی اختلاف کرنے والا ہونا مخالف ناموافقت
discordant	اِختلافی انمیل اَولُو مُناقِض ناساز ناسازگار نامُوافق ناموزوں نقیذ
slander	اِختلاق اِفترا باندھنُو بُہتان پوستین پَیغارہ تَوطِیہ تُہمت جوڑ چٹّا چفتہ چُھدّا سب طَوطیا طُومار نجویٰ ہائی رسوا کرنا اہانت ہتک اکھاڑ پچھاڑ
mendacity	اِختلاق دروغ جھوٹ کذب
aberrance	اِختلال
deficiency	اِختلال بٹّا تفریط ٹُوٹ خامی زلل شِکست فُقدان قُصُور کسَر کمتی کوتاہی کِھنچائی گھاٹا نُقص نُقصان ہِینتا کمی ادھورا پن فرق کسر قباحت قلت قصور
fermentation	اِختمار تخمیر غلیان
asphyxiation	اِختناق
castrate	اختہ الولا آختہ تعنین کرنا
power	اِختیار ادِھکار ادِھیکار اِستطاعت اِقبال اِقتدار اِمکان انس آگرہ بازُو بال بانہہ بِت بربس بِرتا بس بِساط بِضاعت بطش بُنیاد بُوتا بِیرج پالا پر پروبال پران پربھاؤ پنجہ پوٹا پُونجی پہنچ پِیری تاب داب تمکُّن تمکَنت توانائی تَوفیق تیج ٹٹّو جِگرا جلال حُکومت حَول حَیل دائو دبائو دست دستگاہ دسوکھا دَور ڈب زور سامرتھ ست ستّا ستّیا سُداب سطوت سہار شان شکتی طاقت قابُو قادری قدر قُدرت قُوا قُوّت قُویٰ قہر کِبر کر کس کن مام مجال مُختاری مقدِرت مقدور مُکنت مہِما نِیرو ہاتھ ہِمّت ہیکڑی یارا ید بل تھکاوٹ قوت حکومت مختار نامہ بوتا دبدبہ جاہ اختیار اقتدار قابو قبضہ قدرت ثروت
election	اِختیار اِنتخاب چُنائو خِیار انتخاب را مسابقہ اون چناؤ
will	اِختیار اِرادت اِرادہ اِیما بس بھائو توصیت تیارّ حاضِر خواہ خواہش خوش درخواست دِل رضا سنکلپ قدر گا گی گے مائِل مُراد مرضی مشِیّت مَو مُوصیٰ نِیّت وصایا وصیّت آمادہ چھلاوا راضی کمیل نیت عزم قصد حاضر مندانہ ڈر پوک اگیا بیتال ارادہ مراد وصیت عادی خوگر پابند رسوم رواجی عادت رسم
jurisdiction	اِختیار بھدر حُکومت عمل وِلایت داری دائرہ اختیار دخل علاقہ حدود حکومت قلمرو
control	اِختیار اِستیلا اِقتدار اِمکان بس بُوتا بِھچّی پابند پابندی پنجہ داب تحت تمکُّن تنسیق دسترس رگ ضابِطہ ضبط عِنان قابُو قادری قبض قُدرت گھات مُنضبِط وِلایت کن قاب لگانا قابو میں رکھنا سادھنا اختیار انضباط قید تسلط
option	اِختیار اِرادہ اِنتخاب خِیار کلپَنا پشن امکان فرصت انتخاب اختیار موقعہ
authority	اِختیار ادِھکار ادِھکاری ادِھیکار اسانید افسرِبالادست افسری اِقتدار اِمکان اِنتداب ایادی بالاچاق بس پِیری تاج داب تحکُّم تمکُّن تمکَنت چھوڑنا حُکّام حُکومت دبائو دست دَور ڈب رُستمی رگ زور سامرتھ سرکار سطوت سِکّہ سُلطان شاسن شان طاقت قُدرت کارفرما کُرسی مجال مُختاری مُقتدرہ مقدور مُکنت مہابت وجاہت ہاتھ ہیکڑی اختیار حکومت مجتہد قابو قدرت
autonomy	اِختیار سوراج آزادی
optional	اِختیاری اختیاری
take	اخذ پذیر پذیری رُبا سِتاں سِتد گِرہن گہنا گِیر لو لین لینا ماخُوذ مفتوح مُؤخّذ آمدنی نقل کرنا مماثل ہونا ہٹانا نکالنا نگرانی نمٹنا نپٹنا سنبھالنا خبردار ڈھانا خراب اتارنا اعتراض ذمہ ہٹا دینا قبضہ جمنا جڑ پکڑنا گوشہ نشینی اختیار راہبہ بننا لتے تھامنا اچکنا بھتہ حصہ دلکش دل ربا(گرفتار) پزیر
deduction	اخذ اِستخراج اِقتصار اِنتاج بٹّا تخریج چُھٹَوتی حاصِل کٹا کٹَوتی گھٹاؤ مُجرا مُجرائی مُجرئی منقصت مِنہائی نتیجہ وضع کٹوتی مجرا
expenditure	اخراج اصراف برآورد تصرُّف خرچ صرفہ کھپت مخارج مصارِف مصرف نفَقہ صرف لاگت سرفہ
expense	اخراج اخراجات بذل تصرُّف تلف خرج خرچ خرچہ صرف صرفہ لاگ لاگت مصارِف مصرف اٹھان سرفہ زیر باری
outflow	اِخراج بہاؤ
extradition	اِخراج
deportation	اِخراج نِکالا جلا وطنی شہر بدری برتاؤ کرنا پیش آنا
dislodgement	اِخراج
evacuation	اِخراج اِنخلا انخلا
expulsion	اِخراج اِستخراج خروج اب بےوقوفی بے دخلی اخراج
discharge	اِخراج اِستخلاص اُنڈیلنا برات بری بُھگتانا پھرچھا جواب چُھٹان چُھٹیّ چُھڑانا چُھوٹنا خلاص رِہا رِہائی موچن نِکال برطرفی چھوڑنا آزادہ فارغ آزاد کرنا نبٹانا رخصت انڈیلنا چھٹی نکاس رہائ
eviction	اِخراج نِکالا بے گھری خراج
senile	اخرف خرِف سٹھیایا
walnut	اخروٹ جَوز گِردگان گَوز مغزیات
green	اخضر ترہ خام خضرا دُودھیا ڈَہڈہا رطب زنگاری سبز سبزہ سرسبز شاداب شاک مُخضّر ہری ہریا ہریالا ہرِیلا تازہ ہرا کنجڑا کنجڑی پھل فروش سبزی اناڑی کچا نابالغ ناتجربہ کار نیا میدان رنگ
hide	اِخفا اِستتار اسُوجھ اگوچر الُوپ اندرُونی اوٹ اوٹنا اوجھل آڑ باطِن باطِنی بِھیتری پِنہاں پوشیدہ تبطُّن تستیر جِلد چام چرم چم چمپت چمڑا چوچ چور چُھپ چُھپا چُھپانا چُھپنا چھند حِجابی خافی خفائی خفی خُفیہ دبکانا درپردہ دُرانا دفنانا دُوال ڈھانپنا ڈھانکنا روپوش ساتِر سربستہ غائِب کھال گُپ گُپت گُجیّ گُجھاّ لُکا لُکانا لُکنا مارنا مُبہم مُحتجِب مُختفی مخفی مدفُون مرکُوز مُستتِر مستُور مُضمر مُظلِم مغلُوق مُغیّب مکتوم مکنُون ملفُوف نادیدہ ناپدید نِہاں نِہُفتہ چھپا ڈھکا غائب خفیہ مدفون محجوب مستور نہاں پنہاں سخت دقیانوسی تنگ نظر بچانا چھپانا ڈھکنا دبکنا گم کرنا بچنا چھپنا ہونا چابک زنی مار پٹائ ٹھکائ
secrecy	اِخفات اِستتار اولا پردہ پوشیدگی تستیر چُھپائو خِفا رازداری خفیہ راز
ember	اخگر انگارا انگشتِ بھس بھُوبل جمرہ
love	اِخلاص اِلف اُلفت اُنس اُنسیت ایاز آتش آرزو بامہر بھائو پرِیت پریم پیار پیاردلار پِیت تاَلُّف تاَنُّس تعشُّق تولّا چاہ چاہا چاہت چسپیدگی چھو حُب دُلار دِلدادہ رادھا راگ رِتی شرِنگار شوریدگی شَوق شَوقیہ شیفتگی عاشِقانہ عاشِقی کام کاہیدہ گِرِفتار گرمی لاڈ لاگ لگن لگی لَو ماد مُحبّت مُحبتیّ محبوب مد مدن مُوالات مُودّت موہ مِیٹھا نِہہ نیہہ والہانہ والہیت وامِق وِداد ودُود وِلا ہِت ہوا یاری چاہنا محبوبہ پیارا پیاری آگ عاشقی اخلاص عشق لگاوٹ محبت پیت پریت الفت آمیز
loyalty	اِخلاص صحابت وفا اطاعت نباہ وفاداری
candour	اِخلاص خُلُوص عدل بے ریائ اخلاص مخلصی راستی صدق دل صفائ
sincerity	اِخلاص اِستحضار امانت تاَنُّس خُلُوص سادگی ستّیہ صادِقی صافی صداقت صِدق صفا وفا بے ریائ اخلاص خلوص مخلصی صدق دل
tenderness	اِخلاص اِشفاق آہِستگی چھو رِقّت سُبکی کرُنا کوملتا گُداز گلاوٹ مُلائمت نازُکی نمرتا نزاکت نرمی رحمدلی رقت
phlegm	اخلاط بلغم خِلط کف
choler	اخلاط صفرا صفرہ
melancholy	اخلاط اُداسی تاَلُّم حزیں دِـژم رُبُودگی رونا سَودا ضِیق ملال ملُول ملُولا افسردہ دل فگار گیر حزین ملول افسوس پژ مردگی سودا
heir	اخلاف جانشین خلَف واماندہ وُرثا ولی یُوراج وارث عہد جا نشین حق دار خلف مستحق
offspring	اخلاف اسباط اصلاب اطفال اعقاب اعیال اَولاد آل آنکھ باغ بنُو پگا پُنّیائی پَود پھل پھُلواری پُھوسڑا تُخم تُخمہ تُنتو ثمر جاتا جنا جھول چِلّر ذُرّیّت زائیدہ زِہ سنتان صُلب ظُہُورا عِترت عقب کوکھ نبائر نُطفہ ولد اولاد بچے فرزند نئی پود نشانی ضریت
descendant	اخلاف اَولاد بنس بنُو بیل پرجا تُنتو خلَف ذُرّیّت عِترت موالید آل اولاد خلف
ethic	اخلاق نِیتی اخلاقیات نیک حسیں سچی خوب
manner	اخلاق اسالیب اُسلُوب اطوار اُفتاد اندازہ اَوصاف اَوضاع آداب آہنگ آئین باباآدم بات بان بانا بسیکھ بوباس بھانت بھائو بھیس پرداز پرَکار پہلُو پہیّا تاَدُّب داب تکُ تہذیب ٹیو جادہ جَت جوگ جُون جِہت چونچلا چیشٹا حِساب حسَب خاصہ خُو دِرایت دستُور دہر دھرّا ڈَول ڈھال ڈھرّا ڈھنگ راستہ راہ رِتی رسم رکاکت رکان رنگ رُو رُوپ روِش رویّہ رِیت سبک سُلجھائو سُلُوک سلیقگی شان شِعار شکل شیوہ صُورت طرح طرز طریق طریقہ طَور عادت عُنوان قاعدہ قرینہ قُماش کِردار کروٹ کِسوت گت گُونہ گھات گھاٹ لچّھن مت منال مِنوال نمط نَوع نہج نِیتی وطیرہ ہائی ہنجار ہَیئت انداز وضع خو تکلف اسلوب ڈول ڈھب دستور ڈھرا کردار نوع پہلو پیرایہ قطع رویہ سبیل صورت تور
etiquette	اخلاق ادب آداب داب کَینڈا قاعدہ تکلف تمیز
courtesy	اخلاق اِلتفات آدمیّت تفقُّد رِفق شائستگی شرافت عِنایت لُطف مُدارا مرحمت مُلاطفہ نوازِش آؤ بھگت ادب الطفات خوش اخلاقی مدارا
moral	اخلاق اَوصاف دھرم نِیتی نصیحت ادبی اخلاقی نیک چلن شائستہ
disposition	اخلاق اُفتاد اِنتظام بان بانی بھائو تخمیر ٹک جی خاصا خصلت خمیر خُو رُجحان سجیّہ سرِشت سِرشٹ سِیرت سِیل شان طِینت فِطرت مِزاج مشرب منال منِش نِظام نِہاد وتیرہ طبیعت کردار مزاج سیرت سلیقہ سرشت طینت افتاد بے قبضہ کرنا چھیننا
politeness	اخلاق آداب آدر تواضُع تہذیب حِشمت شرافت لُطف مُدارا مُروّت مُلاطفہ نوازِش شائستگی مروت نزاکت
morality	اخلاقیات دھرم سِیل نِیتی بھلائ فضیلت نیکی
