english	urdu
dower	استری دھن جہیذ
downcast	بجھا ہوا جھکا ہوا سرنگوں اچاٹ
downfallen	گرا ہوا
downfall	بربادی تباہی تنزل زوال
downgrade	ڈھال مرتبہ گھٹانا
downhearted	مغموم پژ مردہ
downhill	ڈھال ڈھلوان نشیب اتار زوال
downpayment	پیشگی
downplay	اہمیت کم کرنا وقعت کم کرنا
downpour	موسلا دھار بارش
downright	بالکل پورا سیدھا کھلا کھلا صاف
downstairs	نچلی منزل
downtime	بے کار وقت وقفہ
downtown	اندرون شہر
downtrodden	مظلوم پامال پس ماندہ
downwardness	نچلی طرف پستی
downward	نچلا
down	پر رواں نیچے پست تلے زیر
downy	ملائم نرم روئں دار
dowry	جہیز
doxology	مناجات
doyen	بزرگ تر
dozen	در جن
doze off	جھپکی لے لینا اونگھ جانا
doze	نیند جھپکی لینا اونگھ جانا اونگھنا
dozing	اونگھتا ہوا
drabble	بھگونا لتھیڑنا
drabness	بے لطفی پھیکا پن اکتاہٹ
drab	مٹیالا رنگ موٹا کپڑا بے لطف بے وقوف پھیکا اچاٹ یکساں بد سلیقہ کسبی پھوہڑ طوائف
draconian	استبدادانہ سفاکانہ سخت گیر ظالمانہ
draft	چٹھی ہنڈی خاکہ مسودہ
draggletail	گندی پھوہڑ
draggle	لتھیڑنا
drag long	گھسیٹنا کھینچنا
dragnet	کھینچ واں جال شبکہ
dragon fly	بھنبھیری
dragon	اژدہا
dragoon	غصہ ور سوار
drag	گھسیٹنا کھینچنا چنگال گھسیٹ لنگر روک سہاگہ
drainage channel	نکاسی نالہ
drainage	بدرو پن بہاؤ نکاس
drained	بے طاقت نچوڑا ہوا
drain pipe	نکاس نالی
drain	کھوکھلا کرنا نچوڑنا نکاس کرنا بدرو موری نالا نالی
drake	بطخا چکوا نر مرغابی
dramatic	چانک ناگہانی پراثر تمثیلی
dramatisation	تمسیل کاری
dramatist	تمسیل نگار
dramaturgy	فن تمسیل کاری
drama	ناٹک سوانگ تمسیل
dramshop	مے خانہ
drape	پردوں سے آراستہ کرنا
drastic	انتہائ سخت شدید
draught	چسکی گھونٹ جرعہ نوش
Dravidian	دراوڑی
drawback	کمی خامی خرابی نقص
drawbridge	متحرک پل اٹھواں پل
drawing room	گول کمرہ
drawing	کشش ہاتھ کی بنی تصویر نقاشی
drawl	چب چبا کر گفتگو کرنا
drawn	پریشان حال تنا ہوا وحشت زدہ
draw out	کاڑھنا لمبا کرنا مائل کرنا
drawplate	جنتری تار کش
drawstring	آزار بند
draw up	آ لینا کھڑا کر دینا صف آرا کرنا
draw	بار برداری کرنا گھسیٹنا حاصل کرنا ہٹانا کشید کرنا کشش کرنا کھینچنا سکیڑنا تصویر بنانا اٹھانا
dray	برف گاڑی چھکڑا ٹھیلا
dreadfulness	دہشت ناکی ہیبت ناکی خوفناکی
dreadful	اندیش ناک ہیبت ناک خوفناک مہیب
dread	آشوب اندیشہ ڈر دہشت ہیبت خوف لرزہ سہم ڈرنا ہیبت زدہ ہونا لرزہ بر اندام ہونا
dreamland	خیالی دنیا
dreamlike	خوابی
dream	ارادہ خواب سپنا رویا خواب دیکھنا
dreariness	تاریکی وحشت
dreary	افسردہ بے کیف بے لطف دل گیر لق و دق ملول تیرہ تاریک اداس
dreg	درد گاد پھوک
drenched	شرابور
dressed	لیس ملبوس
dress	پہنانا پہننا لباس پہناوا
dribble	بہنا قطرہ قطرہ ٹپکنا بانٹنا ٹپکانا
dried date	چھوہارا
dried	پھریرا
drifting	بہتا ہوا
drift	بہاؤ دھارا مراد بہنا
drilling	برما کاری
drill	برمانا سوراخ کرنا برما قوائد
drinker	پینے والا شرابی
drink	چڑھانا چوس لینا جذب کرنا پینا نوش کرنا مشروب نوش پینے کی چیز شراب شربت
dripping	شرابور
drippy	ٹپکنے والا
drip	چونا قطرہ قطرہ گرنا رسنا ٹپکنا
drive back	ہٹانا
drivel	بکواس کرنا بچے کی رال بہنا بدھو پن دکھانا
drive	چلانا ہانکنا بھگا دینا ہانکنا
driving	چلاؤ
drizzle	بوندا باندی پھار
drollery	کٹھ پتلی کا کھیل مسخرہ پن مذاق
droll	ٹھٹھول ظریف بھانڈ مسخرہ
drone	کاہل سر
drooling	رال بہتا رال ٹپکتا
drool	رال بہنا
drooping	پژ مردہ
droop	دل بیٹھنا ڈھلنا جھکنا کملانا مرجھانا پژ مردہ ہونا
droplet	چھوٹا سا قطرہ
dropped	ساقط
dropping in	پھیرا
dropping	چکان بیٹ مینگنی
drop	گرانا ٹپکانا گرنا جھڑنا پڑنا ٹپکنا قطرہ
dross	فضلہ میل پھوک
drought	خشکی قحط
drove	انبوہ جھنڈ متحرک غلہ
drowned	ڈوبا غرق آب غریق
drown	ڈبانا ڈبونا غرق کرنا ڈوبنا غرق ہونا
drowsiness	غفلت غنودگی جھپکی خمار
drowsy	کاہل خواب آلودہ شل سست
drubbing	مار مرمت شکست
drub	کوٹنا مارنا پیٹنا پٹائ کرنا
drudge	جتنا محنت کرنا مشقت کرنا
druggie	افیمچی چرسی نشے باز
druggist	عطار دوا ساز
drugs	مسکرات
drug	دار دوا درمان دوائ جڑی بوٹی
drum beat	ڈھول کی آواز
drum (large)	ڈھول
drummer	ڈھولچی طبل نواز
drum (small)	ڈھولک ڈھولکی
drum stick	ٹاپ
drum	ڈھول طبل
drunkard	عادتاً شرابی مست رند
drunkenness	مدھوشی مستی نشہ رندی
drunken	بد مست مخمور سرشار
drunk	مدھوش مخمور مست
dry grass	کاہ
dryness	خشکی روکھا پن رکھائ یبوست
dry	خشک کرنا پونچھنا سکھانا خشک ہونا سوکھنا خشک پھریرا روکھا سوکھا یابس
duality	دوئ
dual	دوہرا
dubious	دھندھلا مشکوک مبہم
dub	بھدا بھونڈا پھوہڑ
duck	دبکنا تھوڑی دیر کے لئے پانی میں سر ڈبونا دبک جانا یک بہ یک سر نیچ کرنا بطخ
dudgeon	ناپسندی کرپان قرولی
dud	ناکارہ گولہ نقلی جعلی
due amount	واجب
duel	مجادلہ
due	واجب
dug	کندہ
dulcimen	سنتور
dull headed	غبی
dull	بے رنگ بے وقوف دھندلا ماند ناسمجھ ناشاد پھیکا سرد سست اچاٹ
dumbfounded	گھبرایا
dumb struck	دم بخود
dumb	بے زبان گونگا
dump	ڈالنا پھینکنا
dunce	غبی
dungcake	اوپلہ
dungeon	محبس
dunghill	ڈلاؤ
dung	گوبر
dunk	بھگو کر کھانا
duo	جوڑا
dupe	اندھا کرنا دھوکا دینا سادہ لوح
duplicate	نقل کرنا ہو بہو نقل مسننا مسننا
duplicity	دغل فصل دوغلا پن دو رنگی جل منافقت
duplictious	جھوٹا نامخلص اوپری
durability	پائے داری پختگی قیام
durable	دیر پا مضبوط پائے دار پکا پختہ قائم
duration	عرصہ فاصلہ مدت
duress	مجبوری قید
during	اثنا میں دوران میں درمیان
dusk	جھٹ پٹا شفق
dusky	مٹیالا
dust cloth	جھاڑن صافی
duster	جھاڑن صافی
dust storm	آندھی
dust	جھاڑنا دھول گرد غبار خاک خاشاک
dusty	گرد آلود غبار آلود خاکی
duteous	فرمان بردار فرض شناس
duties	فرائض مراسم واجبات
dutiful son	سپوت
dutiful	نیک بخت سعادت مند تابع
duty	فرض فریضہ حاصل جزیہ کار کار منصبی خدمت محصول عہدہ وظیفہ ذمہ داری
dwarf	بالشتیا پودنا بونا
dweller	باسی باشندہ مکین
dwelling	گھر کاشانہ خانہ مقام مسکن سکونت
dwell	رہنا
dyer	رنگ ریز
dye	رنگنا رنگ چڑھانا رنگ
dying	موت نزع
dyke	بند خندق مینڈ
dynamic	محرک متحرک
dynamism	قوتیت
dynasty	گھر خاندان
dysentery	پیچش
each	ہر ایک کل ہر ایک
eagerness	شوق
eager	گرم مشتاق راغب ساعی
eagle	چیل
early morning	تڑکا صبح دم
early spring	نو بہار
early	ابتدائ پہلے قبل
earned	کمایا
earner	کمائ
earnest	پرخلوص سنجیدہ سرگرم
earning	اجر کمائ پیدائش
earn	حاصل کرنا کمانا پیدا کرنا
earring	بالی جھمکا
earsplitting	کرخت(آواز) کان پھاڑ
earthen ware	سفال
earthen	مٹی کا زمینی
earthly	خاکی مٹی کا
earthquake	بھونچال لرزہ زلزلہ
earth	ارض دھرتی گیتی گل خاک مٹی زمین
ear	گوش کان
ease	آرام آسانی چین فراغ فراغت نعیم راحت قرار سہولت آرام پہنچانا تکلیف دور کرنا
easier	آسان تر
eastern	مشرقی شرقی
east	پورب مشرق
easy	آسان ہلکا پھلکا میسر
eaten	کھایا ہوا
eating house	بھٹیار خانہ ڈھابا
eating	کھانا کھانا
eat	داڑھ گرم کرنا کھانا تناول کرنا
eavesdrop	چھپ کر سننا
eaves	اولتی
ebb and flow	نشیب و فراز
ebb	جزر
ebonised	آبنوسی
ebony	آبنوس
ebullition	ہیجان
eccentric	انوکھا بے مرکز بے سرا
echo	باز گشت گونج صدا
eclipsed	ماند
eclipse	گرہن
ecological	ماحولیاتی
ecology	ماحولیات
economically	کفایت سے
economical	کم خرچ اقتصادی
economics	اقتصادیت معاشیات
economic	اقتصادی معاشی
economy	اقتصاد معیشت
ecstasy	لہر موج وارفتگی وجد وجدان
ecstatic	بے خود وجد آور
ecumenical	عالم گیر کلیسائ عمومی
eczema	چھاجن
edacious	چٹورا کھائ پیٹ
eddy	بھنور گرداب
edentate	پوپلا
Eden	باغ عدن بہشت فردوس جنت
edge	النگ باڑہ دھار حد کنارہ کور لب پل
edging	کنارہ
edgy	دھار دار تیز
edibles	آٹا دال
edible	کھانے کے لائق معقول
edict	فر مان رقم
edifice	عمارت
edifier	معلم اخلاق
edify	بنانا ایمان پکا کرنا تعمیر کرنا
edited	مرتب
editing	تالیف
edition	نسخہ
editorialist	اداریاتی کار کن
editorial	اداریہ
editor	مدیر
edit	کانٹ چھانٹ کرنا مرتب کرنا تالیف کرنا
educated	خواندہ پڑھا لکھا تعلیم یافتہ
educate	انسان بنانا پڑھانا تعلیم دینا
educational institution	درس گاہ
educational	تدریسی تعلیمی
education	آموزش خواندگی پڑھائ تعلیم تربیت
eel	بام مچھلی
eerie	عجیب و غریب
effaced	مسخ
effacement	فن پزیری
efface	مسخ کرنا مٹانا
effectively	مؤثر انداز سے
effective	فعالی کار گر مؤثر پراثر
effects	آثار متاع نتائج
effectual	کافی کاری نتیجہ خیز
effect	عمل اثر حاصل نتیجہ پھل سبب تاثیر
effette	آبلہ پا ہلکان شل تھکا ہوا
efficacious	فائدہ مند
efficiency	کار گزاری مستعدی قابلیت
efficiently	قابلیت سے
efficient	فعالی مستعد
effigy	پتلا
effiminate	زنخا
efflorescence	پھول کا کھلنا
effloresce	کھلنا پھولنا
effluence	بہاؤ روانی
effluent	جاری رواں
efflux	بہاؤ اخراج روانی
effortless	آسان بے ساختہ
effort	بھاگ دوڑ جہد دوڑ دھوپ جتن جد کوشش مارا مار سعی تگ و دو زور
effrontery	بے غیرتی ڈھٹائ دیدہ دلیری ہٹ ضد
effuse	بہانا خارج کرنا انڈیلنا
eggplant	بینگن
egg	انڈا
egg white	سفیدی
egocentric	خود بین خود سر
egoism	انانیت خود بینی خود پرستی
egoistic	خود خرضانہ خود پسندانہ
egoist	انانیت پسند خود پسند
egotism	فخر خودی
egotistic	انا پرستانہ خود غرضانہ خود پسندانہ خود سرانہ
egotist	انا پرست خود پسند خود سر
ego	انا خودی
egregious	آبرو ریز انگشت نمان فاش ممتاز
egress	گزر خروج کوچ
eighth	آٹھواں
eight	آٹھ
eigne	پہلونٹھا پہلونٹھی
either	یا
ekistics	علم معاشرت
elaborate	پرتکلف صراحت کرنا وضاحت کرنا
elaboration	صراحت تفصیل وضاحت
élan	ہلا جوش امنگ ولولہ
elapsed	گذشتہ
elapse	بیتنا گزرنا
elasticity	لچک
elastic	لچکدار
elation	رفعت عروج
elbow	کہنی
elder	بڑا کلان شیخ عمر رسیدہ
eldritch	انہونی پراسرار
elected	منتخب
election	انتخاب چناؤ
elective	انتخابی
electoral	انتخابی
electricity	بجلی کہربا
electric light	بتی
electrify	بجلی لگانا
electuary	خمیرہ معجون
elect	چننا انتخاب کرنا منتخب کرنا
elegance	آب آب تاب حسن جمال خوبی لطافت لطف نزاکت شان زیب زیب و زینت
elegant	حسین رنگین تیکھا تیکھی سڈول ستھرا ستھری وضعدار
elegy	مرثیہ
elelphantitis	فیل پا پیل پا
elemental	عنصری
elementary	بنیادی ابتدائ تمہیدی عنصری
element	عنصر رکن
elephant keeper	پیل بان
elephant's tusk	ہاتھی دانت
elephant	فیل ہاتھی ہتھنی پیل
elevated	عالی مرتفع رفیع
elevation	فراز رفعت ترقی اٹھان اونچائ
eleven	گیارہ
elicitation	استنبات
elicit	نکالنا پیدا کرنا ابھارنا
eligible	مرغوب
eliminate	ساقط کرنا
elimination	حذف رفع
elixir	اکسیر
eloquence	آتش زبانی بلاغت فصاحت گویائ سخن تلاقت
eloquently	بلاغت سے فساحت سے
eloquent	فصیح گویا شیریں بیان سخن ور طرار
else	کوئ ور ورنہ
elsewhere	دوسری جگہ کہیں اور کسی اور جگہ
elucidate	صراحت
elucidation	صراحت
elude	آنکھ بچانا بچ نکلنا گرفت میں نہ آنا
emaciated	لاغر نحیف
emaciate	دبلا کرنا لاغر کرنا نحیف بنانا
emancipation	آزادی حریت
emasculated	خصی
emasculate	بے طاقت کرنا خصی کرنا نامرد بنانا
embankment	بندھ پل
embarrassed	مجبور شرمندہ
embarrassingly	بوکھلائے ہوئے پریشانی سے
embarrassment	روگ شرمندگی
embarrass	مصیبت میں ڈالنا خجل کرنا شرمندہ کرنا الجھانا
embassy	سفارت خانہ
embedded	گاڑا ہوا جما ہوا
embed	گاڑ دینا جما دینا
embellished	نقشی نقشین سجا سجی
embellishing	آرا
embellishment	آراستگی
embellish	نکھارنا سجانا سنوارنا سنگھارنا
embezzlement	دست برد ہضم خیانت
embezzle	چرانا ڈکار جانا ہضم کرنا کھانا خرد برد کرنا پچانا
embittered	ناگوار کڑوا تلخ
embitter	ناگوار کرنا کڑوا کرنا تلخ کرنا
emblem	نشان تغرا
embodiment	پڑیا
embody	مجسم ہونا
embolden	ہمت بڑھانا پیٹھ ٹھونکنا
embracement	بغل گیری
embrace	آغوش میں لینا چمٹانا چپٹنا گلے لگنا لپٹانا پہلو گرم کرنا سینہ لگانا آغوش ہم آغوشی لپٹنا
embracing	ہم آغوش ہم کنار
embroidered	کام دار کڑھا ہوا
embroider	کاڑھنا کڑھائ کرنا
embroidery	چکن گوٹا کناری کام کڑھائ کشیدہ کاری نگار پھول پتی زر دوزی
embroiled in	مبتلا
embryonic	خام ناپختہ
embryo	حمل جنین ناپختہ
emendation	اصلاح تصحیح
emerald	پننا زمرد
emergence	نمود ظہور
emergency	ہنگامی حالت
emergent	ہنگامی ناگہانی
emerge	برآمد ہونا نکلنا ابھرنا ظاہر ہونا
emery	ریگمال
emetic	قئے آور
emigrant	مہاجر تارک وطن
emigrate	حجرت کرنا ترک وطن کرنا
emigration	ہجرت
eminence	رفعت شان شرف علو اٹھان
eminent	عالی ممتاز سر بلند شریف
emissary	ایلچی جاسوس مخبر
emit	آواز نکالنا چھوڑنا
emolument	یافت
emotional	جذباتی
emotion	احساس جذبہ جوش لہر
emotive	جذبات انگیز
emperor	بادشاہ شہنشاہ
emphasise	جتانا زور دینا
emphasis	تاکید وزن زور
emphatically	تاکیداً
emphatic	واثق زور دار
empire	قلمرو سلطنت
employee	ملازم نوکر
employer	اجر مالک
employment	استعمال کام کار کاروبار ملازمت نوکری شغل روز گار تصرف
employ	استعمال کرنا کام دینا ملازمت دینا نوکری دینا
empower	اختیار دینا طاقت دینا
empress	ملکہ سلطانہ
emptiness	خالی پن پول
empty	خالی کرنا انڈیلنا خالی کورا اوچھا پولا پونگا سونا تہی
enable	آسان بنانا مجاز کرنا مختار کرنا قابل کرنا
enacted	نافذ
enact	ادا کرنا انجام دینا بجاوری کرنا
enameller	مینا کار
enamel	مینا تام چینی
enamoured	عاشق فریفتہ مائل
encampment	خر گاہ پڑاؤ
encamp	ڈیرا ڈالنا پڑاؤ ڈالنا پڑنا
encapsulated	غلاف چڑھا
enchanted	فریفتہ مسحور
enchantment	جادو سحر کاری طلسم
enchant	رجھانا
encircled	گھرا ہوا
encircle	گھیرنا حلقے میں لینا انحصار کرنا محاصرہ کرنا
enclave	محصورہ
enclose	گھیرنا احاطہ کرنا
enclosure	احاطہ حصار
encomium	مدح قصیدہ
encompassing	محیط
encompass	گھیر لینا لپیٹ لینا شامل کرنا
encounter	مڈ بھیڑ ملاقات سامنا ٹکر سامنا کرنا
encouragement	ڈھارس حوصلہ افزائ حمایت تائید پشت پناہی
encourage	ڈھارس دینا دل رکھنا حوصلہ افزائ کرنا ہمت بڑھانا جی بڑھانا پیٹھ ٹھونکنا پشت پناہی کرنا
encouraging	حوصلہ افزا
encrimson	سرخی دینا
encroachment	دست اندازی
encroach	قبضہ کرنا
encrustation	پرت تہہ
encrusted	پپڑی دار تہہ دار
encrust	پپڑی جمانا تہہ جمانا
encumber	بار ڈالنا قرض دار بنانا رکاوٹ بننا
endanger	خطرے میں ڈالنا
endeared	چہیتا
endearingly	لاڈلے پن سے پیار سے
endearment	لاڈ
endear	لاڈلا بنا پیارا کرنا
endeavour	جہد کوشش سعی کوشش کرنا سعی کرنا
ended	ختم
endgame	آخری معرکہ
ending	اختتام انتہا خاتمہ
endlessly	بلا انتہا
endless	بے اندازہ بے حد
endorsement	دستخط توثیق تظہیر
endorse	حمایت کرنا منظور کرنا توثیق کرنا
endowment	وقف
endow	بخشنا دینا جہیز دینا
endurance	برداشت پتا ثبات صبر تاب
endure	برداشت کرنا جھیلنا کھانا صبر آنا سہنا تاب لانا زحمت اٹھانا مستقل مزاجی دکھانا
enduring	ثابت
end	آخر کرنا انجام تک پہچانا ختم کرنا نبیڑنا آخر ہونا انجام تک پہنچنا خاتمہ ہونا آخر عاقبت انجام دم فقط حشر خاتمہ کناری کنارہ مائل نتیجہ نہایت پار پایاں تمام
enema	پچکاری شافہ
enemy	عدو باغی بیری دشمن غنیم حریف
energetic	جفا کش
energy	دم قوت طاقت زور
enfeebled	کم زور ناتواں
enfeeble	کم زور بنانا
enfeoff	ہتھیار ڈالنا
enfold	گھیرنا
enforced	نافذ
enforcer	نافذ کرنے والا
enforce	بھگا دینا دم لگانا مجبور کرنا نافذ کرنا زبردستی سے لینا
enfranchise	آزادی دینا
enfree	آزادی دینا
enfreeze	برف بنانا جمانا
engaged	مشغول مصروف
engagement	عہد کام منگنی قرارداد
engage	عہد کرنا اٹکانا منگنی کرنا
engagingly	جاذبیت سے
engender	پیدہ کرنا وجود میں لانا
engineer	مہندس
engraved	کندہ نقشی نقشین
engraver	کندہ کار نقاش
engrave	کندہ کرنا کھودنا نقشین کرنا
engraving	کھدائ نقاشی نقش
engrossed	محو منہمک
engulf	ہڑپ کرنا
enigmatic	مبہم
enigma	چیستان پہیلی عقدہ
enjoin	ہدایت کرنا
enjoyable	مزیدار
enjoyed	محضوذ
enjoyment	عیش گل چھرے لطف موج مزہ رنگ عشرت ذوق
enjoy	عیش کرنا باغ باغ ہونا چین کرنا چکھنا لطف اٹھانا محضوذ ہونا مزہ لوٹنا مزہ پانا مزہ اڑانا مزہ اٹھانا مزے لینا رس لینا
enlarged	مبسوت
enlargement	توسیع
enlarge	بڑھانا پھیلانا
enlightenment	آگہی روشن خیالی
enlighten	روشنی ڈالنا اجالنا واضح کرنا
enlistment	بھرتی
enlist	بھرتی کرنا
enmesh	الجھانا الجھنا
enmity	عداوت بیر دشمنی کاٹ کاوش کینہ کھٹ پٹ لڑائ مخالفت نقیذ رنجش ضد
ennobled	مشرف
enormity	شدت
enormous	بڑا جسیم ضخیم
enough	بس کافی
enquirer	طالب
enquire	خبر لینا تجسس کرنا
enquiry	دریافت جستجو محاسبہ پوچھ گچھ پرسش تجسس
enraged	خفا لال تاؤ میں
enrage	غصے میں آنا غصہ دلانا لال پیلا ہونا
enraptured	بے خود
enroll	درج کرنا
enrol	داخلہ دینا داخل ہونا درج ہونا
enroot	جڑ لگانا جڑنا
ensconced	چھپا ڈھکا ڈھانپا محفوظ
ensconce	چھپانا ڈھانکنا ڈھانپنا
ensign	جھنڈا
enslavement	غلامی
enslave	غلام بنانا
ensnare	دام میں لانا پھانس لینا پھانسنا
ensuing	آیندہ
entangled	مبتلا پیچیدہ پھنسا شاخ در شاخ الجھا ژولیدہ
entanglement	جنجال جھمیلا کھٹ راگ روگ
entangle	پھانس لینا پھانسنا الجھانا لپٹنا پھنسنا الجھنا
entender	گلانا کم زور بنانا
entente	سمجھوتہ
entered	داخل درج
enter into	گھسنا
enterprise	ہمت
entertaining	دلچسپ فرحت بخش
entertainment	فرح خاطر داری ضیافت
entertain	دعوت دینا میزبانی کرنا
enter	اندر آنا داخل کرنا درج کرنا گھسنا پڑنا رقم کرنا
enthuse	گرمانا جوش دلانا
enthusiasistically	گرمجوشی سے ولولے سے
enthusiasistic	جوشیلا پرجوش پرولولہ
enthusiasm	جذبہ جوش خروش شوق ولولہ
enthusiast	جوشیلا سرگرم
entice	چاٹ دینا لبھانا پھسلانا ورغلانا
enticing	دل فریب
entirely	بالکل سراسر تمام تر
entire	بھر کل مسلم پورا سارا کا سارا تمام
entitled	حق دار
entitlement	رتبہ
entitle	حق دار بنانا رتبہ دینا
entity	وجود
entrails	آلائش اندرونہ اوجھڑی
entrance	آستانہ چوکھٹ داخلہ دخول در
entrapment	جال پھندا
entrapper	پھانسنے والا
entrap	دام میں لانا پھانس لینا پھانسنا شکار کرنا
entreat	در خواست کرنا ہاتھ جوڑنا التجا کرنا پیروں پڑنا پیشانی رگڑنا سماجت کرنا
entreaty	التجا سماجت توسسل
entrenchment	قلعہ بندی
entrusted	سپرد
entrusting	سپردگی
entrust	حوالے کرنا سپرد کرنا
entry	اندراج دخل دخول
entwined	گندھا لپٹا
entwine	گوندھنا لپیٹنا
entwist	بل دینا بٹنا
enumerate	گننا شمار کرنا
envelope	لفافہ
enviable	پسندیدہ قابل رشک
enviably	پسندیدگی سے
envied	محسود
enviously	جلن سے رشک سے
envious	جلنے والا حاسد رشک آمیز
environment	ماحول
environs	اکناف گرد گرد و نواح ماحول نواح قرب و جوار
envoy	ایلچی نمائندہ قاصد سفیر
envy	حسد کرنا خار کھانا رشک کرنا ڈاہ حسد جلن رشک
ephemeral	فانی روز مرہ وقتی
epicure	چٹورا رسیا
epic	داستان رزمیہ
epidemical	وبائ
epidemic	وبائ بیماری وبا
epidemy	آفت وبا
epidermis	اوپری جلد
epigram	جگت نقطہ
epilepsy	مرگی سرع
epileptic	سریع
episode	حادثہ واردات
epistle	رسالہ
epitaph	لوح مزار قبر کا کتبہ
epithalamium	جلوہ کا گیت
epithet	خطاب لقب صفت
epitome	خلاصہ
epitomise	خلاصہ بنانا مختصر کرنا
epoch making	عہد آفرین عہد ساز
epoch	عصر زمانہ
eponymous	نام دہندہ
époque	عہد دور جگ زمانہ
equality	برابری مساوات یکسانیت
equally	برابر اتنا ہی ویسا ہی یکساں
equal	عدیل برابر ہم جولی ہم پایہ ہم پلہ ہم رتبہ جواب مساوی نظیر ثانی یکساں جوڑی مد مقابل
equate	برابر کرنا مساوی کرنا
equatorial	خط استوائ
equator	خط استوا
equestrian	گھوڑ سواری
equilibrium	توازن
equipage	حشم جلو ٹھاٹھ
equipment	لوازمہ سامان ساز
equipoise	پسانگ توازن دھڑا کرنا
equipped	آراستہ مسلح
equip	آراستہ کرنا
equity	عدل انصاف
equivalent	بدل برابر مساوی
equivocal	لگی لپٹی مبہم مشکوک مشتبہ ذومعنی
equivocate	گول مول بات کرنا ٹال جانا
equivocator	جگت باز مبہم گو
eradicate	مٹا دینا پامال کرنا اکھاڑنا
eradication	بیخ کنی خاتمہ اکھاڑ
erased	محو
eraser	کھرچنی مٹانے والا
erase	مٹانا
erasure	مٹائ نابودگی
era	عہد عصر دور قرن سنہ زمانہ
erected	کھڑا نصب
erection	عمارت اٹھان
erect	کھڑا کرنا نصب کرنا قائم کرنا چاق کھڑا قائم
ermine	سنجاب
erotica	جنسی ادب جنسی تواویر
eroticism	جنسی چاہت
erotic	ہوس ناک پرشہوت
errand	عرض کام
errant fool	کاٹھ کا الو
errant	بھٹکتا گم گشتہ سرکش
erratum	غلط نامہ
erring	گمراہ سرگرداں
erroneously	غلطی سے سہواً
erroneous	غلطی پر مغلوط
error	فرو گذاشت گمراہی غلطی خطا
err	بھٹکنا چوکنا غلطی کرنا خطا کرنا
ersatz	بدل عوض
eructation	ڈکار
erudite	متبححر
erudition	علمیت قابلیت
eruption	خروج
erupt	بھڑک اٹھنا
escaped	وا راستہ
escape	بچاؤ فرار فوت گریز خلاصی نجات رہائ بچنا چھٹنا نکل بھاگنا
escaping	گریزاں
escapist	فراریت پسند
escarpment	کھڑی چٹان پہاڑی ڈھلاو
escort	پہنچانا
espadrille	چپل
espalier	جعفری ٹٹی
especially	خاص طور پر
especial	خاص
espionage	جاسوسی
espousal	منگنی شادی
espouse	اپنانا باہنا اختیار کرنا منگنی کرنا نسبت ٹھیرانا شادی کرنا
esquire	جناب صاحب
essayist	انشا پر داز
essay	انشائیہ مقالہ مضمون
essence	اصل عطر جوہر لب ماہیت معنی نفس رس روح ذات
essential	جوہری لازم ذاتی ضروری
established order	قاعدہ
established	مثبت مقرر مقرر شدہ مستحکم قائم ثابت طے ضابط
establishment	عملہ ادارہ نظام زیبائش
establish	جاری کرنا جھنڈا گاڑنا مقرر قائم کرنا
estate	جائداد جاگیر زمین زمین داری
esteemed	عزیز گرامی
esteem	حرمت عزت
estimate	آنکنا اندازہ لگانا حساب لگانا تولنا اندازہ حساب پیٹا قیاس تخمینہ
estimation	اندازہ گنتی حساب نظر شمار
estrangement	کٹی قطع تعلق
et cetera	وغیرہ
etch	چھپنا نقش کاری کرنا ٹھپہ لگانا
eternally	مدام سدا
eternal	ابدی جاوید جاودان سر مدی
eternity	ابد ازل دوام
ether	آفاق ہوا کھلا آسمان
ethical	اخلاقی
ethics	اخلاق
ethnically	نسلی طور پر
ethnic	علاقائ گروہی
etiquette	آداب اخلاق قاعدہ تکلف تمیز
etymology	علم صرف صرف
Euclidean	اقلیدسی
Eugenia	جامن
eulogist	مداح
eulogy	مدح سنا
eunuch	خصی خواجہ سرا خوجہ زنخا
Eurepean	فرنگی
European	فرنگی
Europe	فرنگستان
evacuate	خالی کرنا ترک کرنا
evacuation	انخلا
evade	آج کل کرنا بہانہ کرنا ہچر مچر کرنا پہلو بدلنا پہلو تہی کرنا راستہ کترانا
evanescent	ذائل
evangelical	انجیلی
evasion	بہانہ درنگ گھسسا گریز حیلہ حوالہ اجتناب ٹال مٹول تجاہل
evasive	مجتنب
evening	سر شام شام
evenly	برابری سے یکساں طور پر
evenness	مساوات
events	واردات
eventually	آخر کار قطعاً
eventual	آخری
event	احوال ماجرا قصہ سانحہ واقعہ
even	برابر بھی پھر راست صاف سپاٹ حتیٰ کہ
evergreen	سدا بہار
everlastingly	ابدی طور پر دائمی
everlasting	ابدی جاوید جاودان پآیندہ
ever	دائماً ہرگز کبھی سدا
everybody	ہرکس و ناکس
every day	آئے دن روز آنا روز با روز روز روز
everyman	ہرکس و ناکس
every moment	ہردم
every one	ہر ایک
every time	ہر بار
every	ایک ایک ہر ہر ایک ہرکوئ سب
everywhere	ہرجگہ کہاں کہاں
eve	سر وقت
eviction	بے گھری خراج
evict	چھوڑنا
evidence	دلیل گواہی شہادت ثبوت
evidentiary	دلیلانہ شہادتی
evidently	واضح طور پر
evident	آشکارا عیاں بیان ہویدا معلوم نمایاں صریح واضح ظاہر
evil eye	نظر بد
evil spirit	بد روح پرچھاواں
evil star	نحوست
evils	اسقام
evil	بد برا شریر زشت آفت بدی برائی خرابی کھوٹ مصیبت
evocation	طلبی
