اتھاہ	bottomless unfathomable deep
اُنس	love attachment fellowship affection
انساب	family lineage genealogy race generation
انساج	tissue
اِنسانی	humane humanity
اِنسانیات	anthropology
اِنسانیت	humanity
انسب	convenient worthy
اُنسٹھ	fifty
اُنسٹھواں	fifty
اِنسجام	etc flow tear
انسجہ	thread nerve strand tissue
اِنسداد	bar prevention eradication hindrance check
اِنسدادی	preventive
اِنسطاح	expansion spread
اِنسکاب	gush flood flow
اِنسلاخ	separation
اِنسلاک	insertion annexation threading enclose
اُنسیت	love affection
انش	portion part
اِنشا	composition essay write creation correspondence
انِشٹ	ominous harm bad evil damage
اِنشراح	delight joy openness explanation
اِنشعاب	classification branch division
اِنشقاق	split fission division
انصاب	icon idol
انصار	assistant friend helper
اِنصاف	equity justice impartiality law
اِنصباب	trickle drip
اِنصباغ	colouring baptism
اِنصراف	return diversion
اِنصرام	completion performance end accomplishment conclusion
اِنضاج	cook
اِنضباط	discipline rule restraint regulation enactment self
اِنضباطی	disciplinary
اِنضغاط	compression pressure squeeze
اِنضمام	fusion assimilation amalgamation merger intermingle
اِنطباع	impression print
اِنطباق	superposition agreement coincidence coincident conformity
اِنطراق	hammer pound
اِنطفا	appeasement
اِنطلاق	sunrise appear
انظار	glance eye look
اِنظار	stargazing
اِنظلام	persecute
اِنعاش	enliven revitalization animation
اِنعام	favour largesse prize award reward benefaction
اِنعدام	non extinction annihilation
اِنعطاف	inclination bent
اِنعقاد	tie etc bind knot
اِنعکاس	echo influence impact
اِنفاخ	air
اِنفاذ	etc implementation
انفار	individual person
انفاس	voice person breath individual respiration word
اِنفاق	spend disburse
انفال	booty
اِنفائیّت	nihilism negation refutation cancellation
اِنفتاح	vastness open expanse
اِنفراح	happiness ecstasy
اِنفراد	singleness singularity
اِنفراداً	individually singly
اِنفرادی	individual
اِنفرادیت	uniqueness singularity individuality
اِنفراغ	leisure repose prosperity
اِنفراق	detachment disunion separation
انفُس	people soul spirit
اِنفساح	broadness expanse
اِنفساخ	annulment nullification cancellation
اِنفصال	settlement divorce division separation decision
اِنفصام	schizophrenia disintegration
اِنفصامی	schizophrenic schizoid
اِنفعال	effect penitence impact impressibility contrition impression shame embarrassment
اِنفعالی	penitential
اِنفکاک	redemption release separation
اِنفلاق	fission daybreak split
انفی	nasal
انفیانا	nasalize
اِنقباس	benefit
اِنقباض	contraction suffocation constipation retention
اِنقراض	stop end dismissal
اِنقسام	division distribution apportionment partition
اِنقصاف	brittleness
اِنقطاع	amputation end finish separation extinction
اِنقطاعی	last conclusive
اِنقلاب	alteration reversion transposition revolution change vicissitude turn
اِنقلابی	revolutionary
اِنقیاد	subjection discipline submission
انک	trademark embrace lap
اِنکار	denial gainsay avoidance refusal disapproval deviation disallowance disclaimer abnegation refrain
انکارکرنا	disavow reject disown refuse
اِنکاری	negative
انکانا	appraise
اِنکباب	exhalation steam
انکرُالاصوات	ass donkey
انکُر	shoot seed sprout bud
انکڑنا	shrink
انکس	ankus
اِنکسار	breakage break meekness modesty humility
اِنکساری	break humbleness humility
اِنکشاف	disclosure revelation divulgence discovery exposure
انکنا	appraise etc estimate
انکنٹک	insouciant carefree unconcerned
انکوار	bosom embrace
انکورنا	parch
انکھمُندی	ignorant
انکھانا	writhe
انکھیارا	see
انگ	share division fragment side part aspect mars
انگا	nanny
انگارا	ember cinder redhot
انگاری	regard think
انگبیں	honey
انگریز	englishman britisher
انگریزن	englishwoman
انگڑانا	yawn roll
انگڑکھنگڑ	wastepaper refuse worthless waste junk scrap
انگشتِ	ember coal
انگشتُ	finger
انگشتانہُ	thimble
اُنگل	finger
اِنگلستان	england
اِنگلستانی	english
اُنگلی	finger
اُنگلیانا	provoke tease
انگلیٹ	physique constitution form make
اِنگلیسیہ	english
انگناِ	countless uncounted
انگنا	courtyard
انگنائی	courtyard
انگوٹھا	thumb
انگوچھا	handkerchief
انگور	grape
انگورا	ankara
انگیا	bodice brassiere
انگیٹھی	stove grate heater brazier
انگیخت	incitement inducement instigation urge
انگیختہ	arouse erect excited
انگیز	raise bear youth rouse exciting endurance foment cause
انگیزش	rise commotion tumult excitement
انگھانا	satiate
اُنگھائی	drowsiness sleepiness dullness
انُمان	conjecture guess idea
انمّت	intact whole undivided
انمٹ	ineradicable permanent
انمل	not unmatched ill
انمُوذج	model sample example image
انمول	inestimable invaluable priceless
انمیل	discordant heterogeneous unadulterated
اننّاس	pineapple
اننت	infinite endless boundless eternal
اُننچاس	forty
اُننچاسواں	forty
اننگ	incorporeal
انُواد	reply answer translation repetition interpretation
انوار	splendour light
انواع	kind specie sort variety
انُوپ	incomparable peerless fresh matchless unique
انوَٹ	grace blandishment
اُنُوث	woman female
انور	shin resplendent
انُوق	eagle
انوکھا	untouched wonderful untasted singular rare unique strange extraordinary curious uncommon peculiar
دستانہ	gauntlet glove
بادشاہانہ	princely royally majestic kingly imperial royal
دوستانہ	amicably friendship friendly
انہار	canal rivulet stream river
اُنہتّر	sixty
اُنہتّرواں	sixty
اِنہدام	demolition
اِنہزام	retreat defeat rout
اِنہضام	digestion
اِنہماک	concentration absorption
انہونا	unlikely impossible improbable
انہونی	impossibility
روحانی	spiritual
مُغلانی	needlewoman
انّیائے	outrage wrong oppression tyranny injustice
انیس	comrade companion associate
اُنّیس	nineteen
اُنّیسواں	nineteenth
انیسُون	aniseed
انیق	strange nice fine unique
انیک	numerous many
انیلا	novice simpleton inexperienced simple
انیلاپن	artlessness simpleness simplicity
اُنھوں	they
اِنھیں	he they these
اُنھیں	those they he
او	that it she he
اوّاب	repentant
اواخر	end extreme
اوارجہ	diary ledger journal
اواس	habitation dwell populate
اواسِط	average mean middle
اوام	loan colour debt
اوامر	command order
اوان	season time period
اوائِل	commencement begin outset
اوائی	arrival approach
اوایا	arrive
اُوباسی	yawn
اَوباش	libertine debauchee wicked rake vagabond voluptuary profligate wanton licentious
اَوباشی	licentiousness debauchery
اُوبڑ	craggy irregular jagged
اُوبھ	uneasiness restlessness sultriness
اُوبھٹ	impassable uneven rugged
اوپ	lustre polish brightness gloss shine
اُوپر	at high above more on outside atop
اُوپرا	superficial unseemly ostentatious extra improper additional unsuitable
اُوپری	stranger exterior unknown external hasty outer apparent surplus upper cursory superficial
اُوت	oaf childless ill unfortunate fool blockhead
اوت	surplus profit gain advantage
اَوتاد	chief peg pin noble
اَوتار	incarnation mischievous avatar saint
اوٹ	mask hide covert fence unseen cover veil
اَوٹنا	boil fume
اوٹنا	hide cover
اَوج	vertex sky zenith summit top ascendancy apex peak
اَوجاع	ache pain
اَوجب	compulsory
اُوجڑ	desolate depopulate
اوجھ	entrail gut
اوجھا	magician exorcist astrologer soothsayer palmist diviner wizard sorcerer
اَوجھڑ	shove kick knock push blow thrust
اوجھل	seclusion invisible privacy hide screen conceal concealment
اوجھنا	toss spill
اوچھ	little scanty meagre
اوچھا	flashy gaudy common short scant trite empty petty want shallow showy vain graceless superficial frivolous
اُودا	purple azure
اُودبِلائو	otter
اُودھر	there
اُودھم	disturbance
اُوڈھنگا	clumsy ham awkward inept
اَور	unfamiliar besides different also more unknown and neccessarily moreover
اور	direction side source origin limit way
اَوراق	page foil leave
اَورام	swelling
اَورنگ	factory beauty wisdom throne
اَوروں	other
اُوریب	oblique
اُوڑا	scarcity dearth famine
اوڑھنا	cover sheet
اوڑھنی	dupatta
اَوزار	instrument tool implement
اَوزان	measure weight
اَوسان	courage sens valour coolness calmness self
اوِستا	avesta
اوَستھا	state condition circumstance story narration
اَوسر	time occasion leisure
اُوسر	barren
اوسر	heifer
اوسرا	season
اُوسرائی	barrenness
اَوسط	mean middling average intermediate medium
اَوسطی	mean middling average intermediate moderate midmost
اَوسع	roomy large extensive wide
اَوسنا	rinse
اوِش	non
اُوشا	daybreak dawn
اَوشدھ	medicine drug
اَوشدھالیہ	dispensary hospital clinic
اَوصاف	endowment manner commendation attribute habit moral quality qualification trait
اَوصیا	testator executor legatee
اَوضاع	gesture manner habit behaviour posture
اُوطاق	tent chamber room
اَوطان	homeland mother
اَوعیہ	utensil
اَوقات	subsistence circumstance hour resource mean time life position
اَوقاف	trust property
اُوک	omission slip mistake
اَوکل	uneasy restless anxious
اَوکلی	anxiety uneasiness restlessness
اُوکنا	blunder
اوکنا	puke vomit
اُوکےچُوکے	sometimes
اَوکھا	incongruous different bad disagreeable strange nasty
اُوکھا	parched dry
اَوکھر	medicine drug
اوکھلی	etc
اوگرا	tasteless
اَوگُن	fault immoral ominous harm oblivion defect vice discourteous negligence immorality wickedness
اَوگھٹ	steep unfrequente unpassable uneven rough rugged
اَول	epidemic
اُول	hindrance obstruction
اول	pawn hostage pledge surety
اوّل	good chief begin foremost forego commencement principal excellent prior first high precede
اَولا	excellent
اولا	hail screen secrecy secret
اَولاد	issue child offspring descendant
اُولانگ	grassland
اولتی	eave
اَولکھن	misfortune
اَولُو	unpleasant odd unusual singular discordant uneasy strange unsuitable
اُولُو	have
اَولوِیّت	excellence supremacy pre
اَولیٰ	superior excellent
اَولیا	guardian naive simple defender saint
اولیااللہ	saint
اوّلیّت	priority superiority pre
اوّلین	etc
اوم	brahma vishnu om
اُون	wool
اُوں	etc
اُونٹ	tall fool camel
اُونچ	height tallness highness
اُونچا	elevated high raise tall eminent exalted superior lofty
اُونچان	height
اُونچائی	elevation height sublimity loftiness altitude exaltation
اَوندھا	over foolish distort catamite subvert witless topsy face inverted
اوندھاپن	witlessness
اَوندھانا	invert upset
اَونڈ	sink bottom depth
اَونگابَونگا	lubberly gauche ham awkward
اُونگھ	drowsiness sleepiness
اُونگھتا	doze dull drowsy sleepy sluggish nap
اُونگھنا	catnap doze
اُونی	woollen
اُونھ	nay humph
اوہ	surprise etc distress
اَوہام	misconception superstition delusion
اُوئی	disbelief pain
اویر	delay belatedly lateness
اویرنا	delay dally
اہا	happiness wonder
اہاجی	satire pasquinade lampoon
اہار	gluten food starch paste glue cement victual
اُہارنا	uncover
اہالی	lord mass noble master citizen employer inhabitant
اِہانت	indignity scorn affront slight insult contempt
اِہتدا	counsel guidance
اِہتزاز	rejoice joy oscillation vibration exultation
اِہتزازی	oscillatory
اِہتمام	vigilance attention supervision management mind care arrangement
اِہتمامی	manager manage
اِہدا	counsel gift guidance present
اہداب	cilia
اہداف	target
اہرام	monument pyramid
اہرتہر	death
اہرمن	giant devil ghost satan
اہرن	earring anvil
اَہل	worthy apt deserve have wife inhabitant follower person able capable fit
اِہلاک	destruction death perdition downfall
اہلہ	overflow earthquake flood deluge
اہلی	domesticate homely familiar
اہلیت	skill qualification capability eligibility worthiness fitness
اہلیہ	wife
اہم	momentous important press significant
اِہمال	negligence heedlessness delay laziness
اہمیّت	significance importance
اہنسا	non ahimsa
اہوَن	easy simple
اہیر	milkman
اِئتلاف	friendship
ائلام	sadness gloom sorrow
ائمّہ	imam
اے	o
اِیاب	arrival
ایادی	blessing command hand authority
ایاز	slave beloved love
اِیاس	hopelessness menopause
ایاغ	cup goblet
ایال	lion etc
اِیالت	dominion rule sway command government
ایّام	day season term time duration
ایامِیاس	menopause
ایانا	ignorant foolish
اَیتام	orphan
اِیتر	show braggart boaster
ایتلاف	fusion association friendship familiarity company correspondence
اِیثار	selflessness sacrifice
اِیجاب	acceptance assent
اِیجابی	positive affirmative
اِیجابیت	positivism
اِیجاد	invention design contrivance innovation device creation
اِیجاز	conciseness concision
اِیدھر	here
اِیذا	harm injury affliction trouble hurt torture pain
اِیراد	present state objection criticism allege
اِیرانی	iranian persian
اِیرسا	orris
اَیرن	earring
ایڑی	heel
اِیزاد	increase augmentation addition
ایزد	god
ایزدی	heavenly divine
اَیسا	such thus like resemble
اِیستادگی	delay erection defer
اِیستادہ	stand erect
اِیستگاہ	port
اِیشور	chief master god ruler lord ishvara
اِیشورتا	divinity supremacy
ایشیا	asia
ایشیائی	asian asiatic
اِیصال	convey conduction
اَیضاً	ditto
اِیضاح	elucidation explanation
اِیغو	ego
اِیفا	observance fulfilment pay satisfaction performance
اِیقاع	rhythm happen harmony
اِیقان	faith belief
ایک	mere sole united about one singular alone only first unique an nearly a single
ایکا	conspiracy plot unanimity unity
ایکانت	seclusion privacy solitude
ایکتا	seclusion union sameness conjunction solitude unity oneness harmony unique
ایکڑ	acre
اِیل	friend
ایّل	stag
اِیلام	torment punishment
ایلچی	messenger ambassador representative diplomat emissary
ایلوا	aloe
اِیما	order will sign urge hint nod gesture intention behest
اِیماق	tribe race family
اِیمان	religion honesty integrity conscience creed faith confidence
اِیماندار	honest
اِیمانداری	honesty
اَیمن	protect fortunate secure auspicious right happy safe
اِیں	this
اِینٹ	brick diamond
اَینٹھ	arrogance rigidity contortion recalcitrance pride tighten stiffness air toughen twist
اَینٹھن	colic grip twist cramp
اَینٹھنا	extort tighten twist contort distort
اینچ	pull stretch attraction draw tighten
اینچا	pull draw
اینچنا	attract drag scribble write pull draw sketch
اِیندھن	fuel
اَینڈ	whirlpool waste gaunt
اَینڈا	lurch bent crooked roll stagger sway
اِینگر	red cinnabar
ایواڑا	cattle
اَیوان	palace house chamber assembly legislature portico parliament
ایُّوب	job
اِیہام	pun equivoque
آ	come
آبننا	befall happen
آگھیرنا	besiege encircle surround
آب	dignity polish etc elegance brightness saliva pani sweat sheen reputation sparkle splendour dewdrop wine juice honour magnificence water
آبا	forefather father
آباد	flourish populated inhabit people occupy prosperous verdant happy
آبادانی	prosperity bloom habitation abundance
آبادی	settlement population life activity populace
آبادیات	demography
آبادیاتی	demographic
آباہن	reception greeting welcome
آبائی	hereditary ancestral native
آبدوز	submarine u
آبرو	dignity credibility esteem character brightness reputation respect rank chastity illumination repute status prestige fame honour virginity
آبرومند	respectable honourable
آبرومندانہ	honourably respectfully
آبرومندی	honour respect
آبسال	garden vineyard
آبِستان	lake etc
آبِستگی	pregnancy
آبشار	cascade waterfall
آبِق	absconder
آبگینہ	mirror diamond goblet
آبلُوچ	candy
آبلہ	bubble pemphigus pustule blister
آبنائے	strait
آبنُوس	ebony
آبنُوسی	black
آبی	aquatic aqueous watery moist
آبیات	hydrology
آبیاتی	hydrological
آبِیدگی	hydration
آبِیدہ	hydrate
آبھا	beauty splendour gracefulness
آبھاس	presentation emergence semblance introduction likeness appearance
آبھُوشن	finery ornament jewellery
آپ	self yourself you
آپا	self aapa
آپاآپی	self
آپادھاپی	selfishness
آپس	brotherhood fraternity kinship reciprocity
آتا	next come debt
آتش	anger love flame passion fire rage
آتشزدگی	burn
آتِشک	syphilis
آتِشکی	syphilitic
آتِشگیر	inflammable explosive
آتِشہ	potent distil
آتِشی	fiery irascible
آتَم	self
آتما	appetite atman spirit soul mind
آتی	come
آتے	come
آٹا	rotten meal moth flour
آٹھ	eight
آٹھواں	eighth
آٹھویں	etc
آثار	symptom basis token impression vestige trace effect spoor relic sign
آثاریات	archaeology
آثم	sinner
آج	now nowadays today
آجِر	owner master
آجِل	defer evanescent
آجِیوکا	food diet
آچار	pickle conduct usage practice behaviour
آچاریہ	acharya priest
آختہ	castrate geld emasculate
آخر	eternal different another late
آخِر	last expiration end termination ultimate hindmost finally conclusion final conclusively compulsorily
آخِرت	afterlife hereafter
آخِرش	finally
آخِری	last ultimate extreme later
آخِریں	last final
آخشیج	water
آخور	filth refuse worthless useless stable rubbish
آخوند	schoolmaster master preceptor teacher instructor
آخیر	last completion conclusive end conclusion final
آد	ancient begin pre origin commencement first
آداب	greeting formality politeness manner protocol civility etiquette decorum obeisance salutation ceremoniousness
آدر	attention observation reverence deference hospitality regard respect consideration veneration politeness
آدرش	mirror imaginary ideal message principle sign goal ideological aim
آدم	inventor mankind humanity initiator
آدمی	people messenger mass retainer grow servant runner man husband adult person individual
آدمیّت	civility goodness courtesy humanity intellect youth wisdom
آدیش	instruction order injunction command
آدینہ	friday
آدھ	half
آدھا	half
آدھار	food nourishment basis subsistence base support victual
آدِھین	obedient submissive loyal subservient
آذر	fire flame
آذِین	adornment embellishment decoration
آر	shame awl spur
آرپار	across
آرا	view see opinion
آرادھن	invocation devotion adoration prayer worship
آرادھنا	adore invoke pray
آراستگی	adornment regularity preparation decoration arrangement
آراستہ	adorn decorate prepare embellish bedeck arrange
آرام	relief repose slumber comfort respite recovery rest convenience sleep
آرامی	indolent aramaic lazy
آرامیدہ	rest asleep
آرائش	flower etc adornment equipage dress ornament frill beautification arrangement decoration
آرائی	arrangement
آرتِھک	financial economic
آرد	meal flour
آرزو	presumption faith desire yearn appetency love request entreaty want trust expectation solicitude hope wish longing
آرزومندی	eagerness desire yearn
آرمبھ	commencement begin open
آرمیدگی	ease comfort
آرمیدہ	rest
آرِندہ	carry bear
آروغ	eructation belch
آرہ	see
آرے	yes
آریہ	respectable brave aryan bold
آڑ	ploy wall hide surety stratagem fence covert crookedness shame curvature protection cover obstacle hindrance guarantee support safety abash guise screen
آڑا	oblique transverse bent cross crooked inclined slant slop diagonal
آڑُو	peach
آڑی	etc supporter defender associate
آڑھ	mullet
آڑھت	agency
آڑھتی	correspondent wholesaler consignee
آز	avarice greed
آزمند	greedy
آزاد	libertine immoral unconstrained free manumit hermit absolve fakir carefree independent liberate licentious light unchain
آزادانہ	freely
آزادگی	liberality liberty
آزادہ	liberate free
آزادی	liberation independence freedom
آزار	woe hardship injury affliction apparition trouble
آزاردہ	annoy troublesome irksome vexatious
آزاری	cruelty torture
آزُردگی	woe distress anger displeasure trouble grief grievance sorrow
آزُردہ	annoyed sad distressed aggrieved troubled uneasy
آزُقہ	food
آزمانا	test assess examine try
آزمائش	assay examination appraisal trial test
آزمُودہ	test prove try
آزمُون	test experiment demonstration
آزُوقہ	food sustenance provision livelihood wage
آژنگ	crease fold wrinkle frown
آس	near child progeny faith desire trust expectation protection myrtle hope wish support
آسا	desire like resemble
آسامی	assamese employment
آسان	undemanding manageable convenient facile easy
آسانی	ease effortlessness facility
آسائش	ease amenity comfort repose
آستانہ	threshold astana istana
آستک	religious pious devout
آستین	sleeve
آسُر	fiend demon monster
آسرا	shelter retreat refuge trust abode assurance expectation reliance hope faith confidence sanctuary
آسکت	indolence laziness
آسکتانا	laze
آسکتی	sluggish lazy
آسمان	rain sky firmament zenith pinnacle horizon heaven
آسمانی	high unexpected divine celestial azure heavenly upper
آسن	posture rug place sit asana seat
آسُودگی	satiation contentment prosperity peace tranquility
آسُودہ	opulent rich contented satisfied satiate
آسی	hopeful dejected sad expect
آسیانہ	whetstone
آسیب	illness madness ill demon apparition poltergeist calamity
آسیبی	evil haunt demoniac
آسیمہ	astonish surprised lose bewildered
آشا	desire expectation hope longing wish confidence
آشام	night quaffer drinker
آشامی	imbibe quaff drink
آشتی	peace reconciliation concert accord
آشچریہ	amazement wonder
آشرم	vanaprastha hermitage sannyas grihista ashram
آشُفتگی	anguish madness unease distraction insanity agitation
آشُفتہ	insane anguished distract enamour mad distressed agitated obsess confuse
آشکار	know disclose visible reveal apparent evident clear manifest
آشمال	dutiful servant hanger obsequious compliant
آشنا	friend associate companion aware paramour acquaint acquaintance
آشنائی	affair acquaintance friendship amour
آشوب	fear deceiver affliction turbulence apprehension inflammation disturbance uproar calamity
آشُوری	assyrian
آشیاں	home
آشِیرباد	blessing greeting salutation benediction
آغا	sir master chieftain leader nobleman ruler aga
آغاخانی	ismaili
آغاز	begin origin commencement start outset
آغشتہ	draggle smear adulterate besmear muddy
آغوش	refuge side clasp lap bosom embrace asylum
آفاق	horizons
آفاقی	worldwide cosmopolitan global universal
آفاقیت	cosmopolitanism universality
آفت	mishap adversity noise trouble mischievous misfortune hardship astute wretchedness cruelty cunne brutality difficulty unhappiness grief evil disaster uproar misery catastrophe problem din
آفتاب	wine beloved sunlight
آفتابہ	ewer basin
آفتابی	yellow solar sunshade
آفریدہ	creature create beget
آفریں	acclamation beget laudation commendation praise
آفندی	master lord
آقا	owner master employer lord
آقائی	leadership ownership government
آک	swallowwort
آکار	form portrait figure make look image statue lineament appearance
آکاش	firmament sky
آکری	defiance swagger
آکِل	partaker eater diner
آکِلہ	cancer
آگ	lust revolt blaze enmity tumult anger fiery wrath syphilis enthusiasm flame firelight jealousy hatred passion fire envy passionate quarrel hot
آگا	fore forehead visage front prow
آگار	house dwell room
آگاہ	inform conversant
آگاہی	vigilance insight information knowledge awareness
آگر	capable fill skilful salt
آگرہ	grip power strength
آگم	entrance east arrival commencement come document acquisition advent voucher
آگمن	advent appearance come emergence
آگندہ	full stuff filthy dirty replete
آگوا	come
آگہی	awareness
آگے	near onward beyond face opposite ahead close hereafter henceforth previously formerly before far
آگّیا	order permission command behest mandate licence
آل	tribe child dampness dynasty race offspring wetness follower moisture
آلا	receptacle niche unhealed wet thug damp ballad
آلابالا	idleness evasion subterfuge sophistry prevarication laziness
آلات	apparatus instrument tool device gadget utensil equipment implement appliance
آلام	pain misfortune grief suffer affliction trouble
آلائش	excreta filth refuse gut pus garbage muck
آلپن	pin
آلت	apparatus tool implement penis utensil
آلس	idleness inactivity laziness
آلسی	sleepy indolent lazy
آلکس	lethargy sluggishness
آلن	straw
آلنگ	entrenchment tunnel
آلو	potato aloo spud
آلوچہ	plum
آلود	contaminate daub
آلودگی	uncleanliness nastiness taint contamination foulness defilement pollution impurity
آلودہ	sully polluted unclean contaminate immerse smear grimy foul filthy soiled
آلہ	instrument weapon tool contraption implement appliance
آلہات	deity theology god
آما	replete
آماج	shelter butt bullseye target
آمادگی	alertness inclination preparedness readiness willingness
آمادہ	prepare alert available present ready will
آماس	tumour swell intumescence
آمال	hop wish desire
آمد	incomings arrival volubility revenue approach access spontaneity entry receipt advent inspiration income afflatus
آمدن	arrival come advent income
آمدنی	taking revenue receipt proceed income
آمِر	commander dictator ruler
آمِرانہ	despotic dictatorial tyrannical
آمُرزش	forgiveness grace
آمُرزگار	forgiver
آمِریّت	dictatorship
آملہ	myrobalan
آملیٹ	omelette
آمِن	secure safe protect
آمنی	mango
آموختہ	teach learn
آموز	teach learn
آموزگاہ	madrasa school
آموزش	teach learn education
آمیخت	mixture blend
آمیختہ	compound blend mixed
آمیز	composition compound mixed
آمیزش	adulteration mixture temperament adulterant conspiracy mix
آمیزہ	amalgam blend alloy mixture
آمین	amen
آن	pomp coyness desire pride pledge splendour she he wish vow air habit oath vanity intention nature dignity temperament conceit rank bashfulness self affectation that promise instant
آنا	emerge drop grow advance time increase arrival appear incline befall betide approach reach arrive advent come
آنت	gut intestine entrail (
آنٹ	antagonism ill animosity knot
آنٹا	stuff confine entanglement restrict difficulty full scanty insufficient replete
آنٹی	pocket etc aunt
آنجہانی	deceased
آنچ	blaze trial glow glare difficulty flame passion fire splendour warmth affection fervour
آنچل	etc
آنچو	raspberry
آند	darkness
آندھی	cyclone hurricane gale tempest
آنڈ	testicle
آنڈو	bull uncastrated virile
آنسو	tear(s
آنِسہ	miss
آنک	share hook estimate bend curve judgement portion cypher
آنکڑا	hook tenter
آنکس	goad ankus
آنکنا	rate evaluate measure appraise assess
آنکیا	assessor
آنکھ	opinion sight child etc deference estimation regard offspring respect hint gesture expectation look hope glance
آنگ	limb
آنگن	yard courtyard
آنگی	bodice brassiere
آنند	happiness delight ananda pleasure careless comfort solace entertainment happy enjoyment
آنندتا	happiness
آنندی	bless happy
آنول	myrobalan placenta
آنولا	myrobalan
آنہ	anna
آنی	transitory death inevitable momentary brief fate
آوار	injustice tyranny
آوارگی	wander licentiousness vagrancy profligacy
آوارہ	devastate uninhabited immoral scatter adrift tramp dissolute profligate disperse desolate lonesome waste alone licentious homeless vagabond wanderer vagrant
آواز	tongue language tone summon shout cry call voice proclamation echo announcement fame renown noise sound
آوازہ	jibe noise reputation sneer rumour fame uproar report
آواگوَن	transmigration
آوخ	alas
آور	bear possess bring
زورآور	strong
آورتک	maelstrom whirlpool
آوُرد	fight unnatural assume affect
آوُردہ	protègè
آون	arrival come
آوند	vessel bowl pan
آونگ	sling
آونگی	pendant
آویختہ	hang dangle pendulous suspend
آویز	hang grip attach
آویزاں	dangle suspend
آویزش	discord strife conflict
آویزہ	pendant earring
آہ	sigh moan
آہار	food starch paste eatable glue sustenance victual
آہُت	oblation
آہٹ	footfall
آہِستگی	slowness tenderness gentleness gradualness
آہستہ	softly slowly tenderly sluggishly noiseless secretly slow lazily noiselessly covertly tardily gradually slack
آہک	quicklime
آہم	ahem
آہن	strong hard
آہنکار	arrogance haughtiness
آہنکاری	haughty vain conceited
آہنگ	manner purpose music sound intention symmetry voice method melody harmony tune
آہنی	strong hard
آہُو	deer antelope
آہُوتی	sacrifice
آہوری	mustard
آئل	oil tend
آئند	come
آئندہ	ensue future come subsequent follow next
آئنہ	mirror
آؤ	come
آؤبھگت	welcome
آئی	death time come opportunity occasion receive calamity
آئے	profit income come
آئین	manner statute method usage law custom constitution regulation enactment code
آئینہ	reflector bright mirror reflection clear look
آیا	come arrive if ayah whether
آیت	ayat
آیُو	age life
بَ	from to by with for
بآسانی	comfortably easily
بآواز	aloud
بتقدیر	fortuitously
بتقریب	apropos
بتکرار	repeatedly
بجبر	forcibly
بجنسہٖ	intact bodily entirely identically
بحیثیت	as
بخصوصیت	especially
بخوبی	thoroughly nicely properly completely well excellently duly gracefully
بخوشی	gladly joyfully cheerfully
بخیر	difficult impossible well
بدولت	through
بذریعہ	through
بسبب	through
بسبیل	through
بسلامت	safely
بسہولت	comfortably easily
بشدّت	violently severely forcefully
بشرطیکہ	if
بشمول	and all include cum
بضد	adamant insistent unwavere opposite
بطرف	towards
بطَور	as like
بظاہر	outwardly externally ostensibly apparently
بغایت	excessively abundant extremely plentiful
بغور	attentively closely carefully
بغیر	except exclude without
بقِلّت	sparsely
بکار	useful serviceable
بکثرت	abundant aplenty plentiful
بمثل	like resemble
بمجرد	forthwith instantly immediately
بمرتبہ	ever
بمطابق	apropos concern
بمع	with
بمقتضائے	through
بمنزلہ	instead
بموجب	by on
بنام	to
بواسطہ	through indirectly
بوجہ	for
بوساطت	through
بِ	by with for
بالمثل	similar alike
بالمقطع	consolidate
با	by with
بااتفاق	unitedly unanimously
بااثر	well effective influential resourceful
بااختیار	authorize powerful
بااخلاص	sincere
باادب	respectful polite littérateur respectfully
بااصول	upright principled
باایمان	believe religious pious earnest
باآبرو	nobly respectable respectably honourable
باآنکہ	nevertheless notwithstanding though although
بابرکات	lucky bless prosperous happy
بابرکت	bless fortunate prosperous auspicious
باتدبیر	wise prudent
باتمیز	judicious discreet sensible
باجماعت	congregational
باحیا	bashful modest
باخبر	inform intelligent alert
باخدا	upright religious god godly
بارعب	awe awesome
باشعور	sagacious wise intelligent shrewd
باصفا	truthful pure earnest clean clear sincere
باصواب	good proper
باضابطہ	regular organize formal
باعزت	respectable reputable honourable
باعزم	resolute determine
باعزیمت	ambitious
باعصمت	virtuous modest
بافراغت	leisurely
باقاعدہ	regular formal
باقرینہ	methodical well orderly
باکمال	expert accomplish skilful
بامراد	successful
بامروت	accommodative courteous
بامزہ	palatable tasty tasteful delicious savoury flavourful
بامہر	love care affectionate
باوجود	notwithstanding
باوجودیکہ	though
باوردی	liverie uniformed
باوصف	notwithstanding nevertheless
باوضع	well gentlemanly cultured
باوفا	devote sincere faithful true loyal
باوقوف	conscious aware
باب	point head cess regard gate respect affair topic matter door subject section chapter tax
بابا	child baba ascetic sire father grandfather fakir
باباآدم	manner style beginner initiator
باباجی	father fakir teacher dervish
بابت	account head respect concern regard affair business matter about item article
بابُل	father babylon
بابُو	sir master father mr clerk babu
بابوگری	clerkship
بابُونہ	chamomile
بابی	babi
باپ	inventor baap nurturer father superior elder guardian
باپھنی	eye
بات	point evidence condition desire gossip custom splendour complaint pretext wish reason appeal proof stubbornness distinction mystery vow secret habit excuse ostentation merit suggestion chit want matter taunt adage story aim occurrence word proposition manner tale circumstance request say rank cause idea practice eminence office excellence statement obstinacy happen discourse quality engagement purpose think speech mode advice gibe need substance promise topic question rumour talk subject way issue affair
باتری	artillery
باتُونی	talkative chatty loquacious chatterbox
